Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
BPQ32 / LinBPQ,APRS / Packet,Packet node / BBS (network linking),Windows / Linux / Raspberry Pi,"Packet-switch node, BBS and Winlink RMS gateway software networking radios into AX.25/NET-ROM/Telnet backbones",Drives KISS/soundcard TNCs and PACTOR modems on connected radios; PTT via TNC; links radio to network,Free,By John Wiseman G8BPQ; backbone software for packet nodes and radio-linked Winlink gateways.
DIGI_NED,APRS / Packet,APRS digipeater,DOS / Linux,Configurable APRS digipeater with query/response features,Via AGWPE or KISS TNC; PTT via TNC,Free,PE1DNN; legacy but flexible APRS digi engine.
DIXPRS,APRS / Packet,APRS/Packet (igate/digipeater),Linux / Windows,Python APRS internet-gateway and digipeater,KISS TNC (serial) or soundcard modem to radio,Open-source,Peer to the listed aprx/DIGI_NED
DXSpider / AR-Cluster / CC Cluster,APRS / Packet,DX cluster node,Linux / Windows,DX spotting cluster node; RF-capable via AX.25,KISS/AGW TNC when fed by RF (mostly telnet today); PTT via TNC,DXSpider open-source; AR-Cluster/CC Cluster free,Historically packet-RF fed; still connects over AX.25 in some networks.
EasyTerm,APRS / Packet,Packet terminal,Windows,AGW-based multi-connection packet terminal for BBS/node access,Via AGWPE/UZ7HO soundmodem or AGW-capable TNC; PTT via TNC,Free,Popular simple terminal for reaching packet BBSs.
F6FBB (FBB),APRS / Packet,Packet BBS,DOS / Windows / Linux,Full-featured packet mailbox/BBS with message forwarding,Hardware TNC (KISS/host) or AGWPE; PTT via TNC,Free,Classic worldwide packet BBS software.
FBB / LinFBB,APRS / Packet,Packet radio BBS,DOS / Windows / Linux,Classic packet-radio bulletin board system with mail forwarding (can forward to/from Winlink),Hardware or sound-modem (KISS) TNC for AX.25 packet; PTT via TNC,Free,By F6FBB; still run on legacy packet networks.
GP (GraphicPacket),APRS / Packet,Packet terminal,DOS,BayCom graphical packet terminal,Baycom modem/soundcard through TFPCX/FlexNet; PTT via port line,Free,Legacy European packet terminal.
iBCNU,APRS / Packet,APRS client (mobile),iOS,APRS position reporting and messaging,External TNC for RF; APRS-IS over network,Commercial,Legacy iOS APRS app.
javAPRS,APRS / Packet,APRS client / applet,Java (web / desktop),APRS display and feed handling; early web-embeddable APRS,Via TNC or APRS-IS feed,Free,Legacy; part of the javAPRS/javAPRSSrvr family (server component is IS-only).
JNOS,APRS / Packet,Node / BBS / TCP-IP gateway,Linux / Windows / DOS,"KA9Q-NOS derivative: AX.25/NET-ROM/IP router, BBS, and Winlink/AMPRNet gateway","KISS or AGW TNC, or soundmodem/Dire Wolf; PTT via TNC",Free,Very common for Winlink and packet BBS/node stations.
KA9Q NOS (NET/NOS),APRS / Packet,TCP/IP + AX.25 stack,DOS / Unix,Original amateur TCP/IP-over-packet stack with node/BBS features,KISS TNC; PTT via TNC,Free,Phil Karn KA9Q; ancestor of JNOS/TNOS/AMPRNet.
KISSet,APRS / Packet,Packet terminal,Windows / Linux,Terminal program for KISS-only TNCs with scripting,KISS serial TNC (e.g. NinoTNC) or soundmodem; PTT via TNC,Free,Built with modern KISS hardware (NinoTNC) in mind.
LinPac,APRS / Packet,Packet terminal,Linux,Ncurses AX.25 terminal with mail and macros,Kernel AX.25 attached to a serial TNC or soundmodem; PTT via TNC,Open-source (GPL),Classic Linux packet terminal.
Linux AX.25 (ax25-tools / ax25-apps + kernel stack),APRS / Packet,AX.25 stack / utilities,Linux,"Kernel AX.25 networking plus utilities (kissattach, mkiss, axcall, call, axlisten, listen)",Attaches a KISS TNC or soundmodem to the kernel; PTT via TNC,Open-source (GPL),Foundation many Linux node/BBS/terminal setups build on.
MacAPRS,APRS / Packet,APRS client,Classic Mac OS,APRS mapping/messaging for the Macintosh,Serial TNC; GPS in; PTT via TNC,Donationware,Sproul brothers; legacy but historically important.
MSYS,APRS / Packet,"APRS/Packet (BBS, legacy)",DOS,DOS packet-radio bulletin board / mailbox with message forwarding,TNC via serial (AX.25 over radio),Free,WB5BBW; historic packet PBBS not represented among the listed BBS suites
Outpost Packet Message Manager (Outpost PMM),APRS / Packet,Packet messaging client,Windows (runs under WINE/CrossOver on Linux/macOS),"Email-style front end for exchanging packet messages with any BBS/PBBS or TNC personal mailbox; tactical addressing, forms","Drives a packet TNC (KISS, AGWPE, or hardware) for AX.25; PTT via the TNC",Free,outpostpm.org. Heavily used in ARES/RACES EmComm packet nets.
PinPoint APRS,APRS / Packet,APRS client,Windows,APRS tracking/messaging with built-in offline vector maps,"KISS or TNC2 serial TNC, network (TCP) TNC, NMEA GPS; PTT via TNC",Free,Modern lightweight client; also connects to APRS-IS.
PocketPacket,APRS / Packet,APRS client (mobile),iOS / macOS,Full APRS client with a built-in software TNC,Software TNC encodes/decodes 1200-baud AFSK through the device audio to a VHF radio; also external KISS TNC,Commercial (paid app),One of the first soft-TNC APRS apps for iPhone.
PoPT,APRS / Packet,Packet terminal,Windows / Linux,"AX.25 packet terminal supporting KISS over TCP/serial, AXIP/UDP, and Linux AX.25 devices",KISS TNC or soundmodem; PTT via TNC,Free,Cross-platform multi-session terminal.
QtTermTCP,APRS / Packet,Packet terminal,Windows / Linux / macOS / Raspberry Pi,Multi-session KISS/AGW/host terminal and BPQ connection client,KISS or AGW TNC (incl. Dire Wolf) over serial/TCP; PTT via TNC,Free,G8BPQ. Common front-end for BBS/node access.
SARTrack,APRS / Packet,APRS client (search & rescue),Windows,APRS mapping tailored to search-and-rescue teams; tracking and messaging,KISS/AGW TNC or Dire Wolf; GPS in; PTT via TNC,Free (donationware),New Zealand origin; can use Dire Wolf as a virtual TNC.
TNOS,APRS / Packet,Node / BBS,Linux / DOS,NOS derivative BBS/gateway with AX.25/IP,KISS TNC; PTT via TNC,Free,Sibling of JNOS.
TSTHOST (The Station Terminal),APRS / Packet,Packet terminal (host mode),DOS,Multi-connect packet terminal with mailbox,Hardware TNC in host mode (or software TNC via TFPCX); PTT via TNC,Free,DG3DBI; widely used legacy DOS packet terminal.
U2APRS,APRS / Packet,APRS client (mobile),Android,Soundcard-AFSK APRS tracker/messenger,AFSK audio via cable to radio; PTT via VOX or cable/serial,Free,JA7UDE; transmits APRS without a hardware TNC.
UI-View32 (and UI-View16),APRS / Packet,APRS client,Windows,"APRS mapping, messaging, digipeater and IGate","Radio via TNC in KISS, AGWPE, or BPQ host mode (or serial TNC); PTT handled by the TNC",Free (formerly donationware; released free after G4IDE SK),"Historically the most popular Windows APRS client; huge add-on ecosystem (PMap, WXtoIMG feeds)."
URONode,APRS / Packet,Packet node,Linux,AX.25 node front-end / user gateway,Kernel AX.25 attached to KISS TNC or soundmodem; PTT via TNC,Open-source,Modern Linux node built atop ax25-tools.
W0RLI MailBox (PBBS),APRS / Packet,"APRS/Packet (BBS, legacy)",DOS,One of the original packet-radio BBS/mailbox programs,TNC via serial (AX.25 over radio),Free,Hank Oredson W0RLI; foundational PBBS lineage
WinAPRS,APRS / Packet,APRS client,Windows,Original Windows APRS mapping/messaging application,Serial TNC (KISS or TNC2 command mode); GPS in; PTT via TNC,Donationware,Sproul brothers (APRS pioneers); MacAPRS and X-APRS are siblings.
WinPack,APRS / Packet,Packet terminal,Windows,Full-featured Windows packet terminal with mail handling and 7plus,Hardware TNC in host mode or via AGWPE; PTT via TNC,Free,G4IDE (also author of UI-View); classic Windows packet terminal.
WINTNC,APRS / Packet,Packet terminal driver,Windows,Multiuser/multiport terminal driver for KISS soundcard modems,KISS TNC/soundmodem; PTT via TNC,Free,Niche Windows multi-session terminal.
Xastir,APRS / Packet,APRS client,Linux / Unix / macOS,"APRS receive/plot, messaging, IGate and limited digipeating; many map formats","Kernel AX.25, serial TNC, or AGW/Dire Wolf; GPS in; PTT via TNC",Open-source (GPL),Veteran *nix APRS station software.
XRouter (XRPi / XRLin / XRWin),APRS / Packet,Packet node / switch,Windows / Linux / Raspberry Pi,"Multiprotocol packet switch/node (AX.25, NET/ROM, TCP/IP) that can host Winlink access",KISS TNCs and sound modems; keys PTT for AX.25 packet,Free,By Paula G8PZT; alternative to BPQ for packet networking.
XRouter / XRPi,APRS / Packet,Packet switch / router,Windows / Linux / Raspberry Pi,"Multi-protocol packet node/router (AX.25, NET-ROM, IP, TCP)",KISS/AGW TNC or soundmodem; PTT via TNC,Free,G8PZT; feature-rich node used across networks.
YAAC (Yet Another APRS Client),APRS / Packet,APRS client,Java — Windows / macOS / Linux / Raspberry Pi,"APRS client, RF-Internet gateway (IGate), and AX.25 digipeater",KISS or AGW TNC (incl. Dire Wolf) over serial/TCP; serial GPS; PTT via TNC,Open-source,KA2DDO. Strong OpenStreetMap rendering; scriptable.
Band Master,Contest logging,Contest logging / DX cluster,Windows,Telnet DX-cluster client with graphical band map and click-to-tune,CAT rig control via Omni-Rig,Commercial (DX Atlas),VE3NEA; integrates with DX Atlas and Faros
CC User (VE7CC / AR-User),Contest logging,Contest logging / DX cluster,Windows,"Spotting client for CC Cluster, AR-Cluster and DXSpider with filtering and band map",CAT rig control (Omni-Rig) + logger integration,Free,"Lee Sawkins VE7CC; the standard client for CC Cluster (server already listed, client was not)"
CQ/X,Contest logging,Contest logging,Windows,Mobile/rover contest logger for QSO parties with GPS county tracking,CAT rig control (freq/mode),Free,Aimed at mobile state-QSO-party operation.
CT,Contest logging,Contest logging,DOS / Windows,Pioneering contest logger that defined networked contesting,"CAT rig control (later versions), CW keying via serial/parallel port",Free (legacy),By K1EA. Historically dominant in the 1990s.
CTESTWIN,Contest logging,Contest logging,Windows,Multi-contest logger supporting many JA and DX contests,CAT rig control + CW keying,Free,JR8PPG; widely used in Japan alongside zLog
DXLog.net,Contest logging,Contest logging,Windows,"Contest logger supporting 500+ contests, SO2R, digital","CAT rig control, PTT, CW/voice keying, SO2R, band data",Free,Descended from the Win-Test code lineage; free since 2019.
DXTelnet,Contest logging,Contest logging / DX cluster,Windows,"Telnet DX-cluster access with sound alerts, band map and DX 'robots'","CAT rig control, click-to-tune",Donationware,Fabrizio Sartori IK4VYX
GenLog,Contest logging,Contest logging,Windows,General + 200+ contest logger,"CAT rig control (freq/mode read), CW keying",Free,By W3KM. Long-running free contest/general logger.
HamRacer,Contest logging,Contest logging,Windows,Lightweight free contest logger,CAT rig control,Free,Listed among current free contest loggers.
MINOS,Contest logging,Contest logging,Windows / Linux,VHF/UHF/microwave contest logger,CAT rig control,Free,By G0GJV. VHF-oriented.
N1MM Logger+,Contest logging,Contest logging,Windows,"World's most popular contest logger for CW/SSB/digital; networked multi-op, SO2R, bandmap, real-time scoring, call history","CAT rig control (freq/mode), PTT keying, CW keying via serial/WinKeyer, band data output; sound-card digital handed to external engines (MMTTY/fldigi/WSJT-X)",Free,Successor to the legacy N1MM Logger Classic. Uses its own CAT plus optional Omni-Rig.
N1MM Logger+ Spectrum Display,Contest logging,Contest logging,Windows,"Contest logger whose Spectrum Display window shows a panadapter/waterfall from supported radios' spectrum data or an external SDR, with click-to-tune bandmap.",CAT control of the transceiver for frequency/mode; ingests native spectrum data (Icom/Flex/etc.) or SDR I/Q and tunes the rig from the waterfall.,Free,The free contest standard; spectrum window is the in-scope panadapter feature.
N3FJP Contest Log suite,Contest logging,Contest logging,Windows,Family of per-contest loggers plus Field Day Log,"CAT rig control (freq/mode), CW keying, integrates WSJT-X",Commercial,By N3FJP; sold as a suite alongside AC Log.
NA,Contest logging,Contest logging,DOS,Classic DOS contest logger,"CAT rig control, CW keying via serial/parallel",Free (legacy),By K8CC. Part of the DOS-era CT/NA/TR trio.
QARTest,Contest logging,Contest logging,Windows,HF/VHF contest logger with integrated digital decoding,"CAT rig control, PTT, CW keying, sound-card RTTY/PSK/CW decode",Free,By IK3QAR. Popular in Europe.
RCKLog,Contest logging,Contest logging,Windows,SSB/CW contest logging and administration with TRX and packet control,"CAT rig control, CW/PTT keying",Shareware / Commercial,By DL4RCK/DF3CB heritage; German contest tool.
RCKRtty,Contest logging,Contest RTTY,Windows,RTTY contest logging/operating program supporting full contest exchange automation.,CAT rig control plus the MMTTY engine for sound-card/FSK RTTY and PTT.,Free,By Walter Kraus DL4RCK. Uses MMTTY as its modem.
RoverLog,Contest logging,Contest logging,Windows / Linux / macOS,"VHF+ contest logger, popular with rovers",CAT rig control via Hamlib,Free / Open-source,By N1MU. Multiplatform.
RTTY by WF1B,Contest logging,Contest RTTY,DOS,Classic combined RTTY terminal + contest logger; the standard RTTY-contest program of the 1990s.,"Drives hardware TNC/terminal units (AEA PK-900, MFJ-1278, HAL, AMT-1, etc.) and later sound-card modems; CAT rig control.",Commercial,"By Ray Ortgiesen WF1B. Legacy, still fondly referenced in RTTY contesting."
RttyRite,Contest logging,Contest RTTY,Windows,RTTY/PSK operating window built into WriteLog contest software; can drive multiple decode engines and hardware TUs.,CAT via WriteLog; sound-card AFSK or FSK/PTT keying; MMTTY/2Tone plug-ins or external terminal units.,Commercial,Part of WriteLog (W5XD/K5DJ). Supports remote-side modem deployment for remote stations.
RUMped,Contest logging,Contest logging,macOS,Mac contest logging companion to RUMlog,"CAT rig control, CW/PTT keying",Free,By DL2RUM; part of the RUMlog ecosystem.
SD (Super Duper),Contest logging,Contest logging,Windows (DOS origin),Fast single-op HF contest logger; SDX (RTTY) and SDV (VHF) variants,"CAT frequency/mode reading, CW keying",Free / Donationware,By Paul O'Kane EI5DI. Renowned for fast keyboard logging.
Skookum Logger,Contest logging,Contest logging,macOS,Native Mac contest logger,"CAT rig control, CW/PTT keying via WinKeyer, band data",Free,By K1GQ. The leading Mac-native contest logger.
so2sdr,Contest logging,Contest logging,Linux,SO2R contest logger with SDR bandmap,"CAT rig control via Hamlib, CW keying (WinKeyer/cwdaemon), SDR audio for bandmap",Free / Open-source,Linux SO2R-focused contest logger.
TACLog,Contest logging,Contest logging,DOS,UK/European contest logger,"CAT rig control, CW keying",Free (legacy),Classic RSGB-era contest logger.
tlf,Contest logging,Contest logging (CW/RTTY),Linux / Raspberry Pi,Console-based contest logger that sends CW and can run RTTY.,CAT/PTT via Hamlib; CW keying via cwdaemon (serial/LPT or WinKeyer); RTTY via gMFSK/fldigi.,Open-source,Logging program included here because it keys CW on the radio through cwdaemon and drives RTTY engines.
TR Log,Contest logging,Contest logging,DOS,"Classic DOS contest logger, ancestor of TR4W","CAT rig control, CW/PTT keying via serial/parallel port",Free (legacy),By N6TR. Still occasionally run in DOS/DOSBox.
TR4W (TR for Windows),Contest logging,Contest logging,Windows,"Windows port of TR Log; 180+ contests, SO2R, bandmap","CAT rig control, PTT, CW keying, band output",Free / Open-source,Based on N6TR's TR Log.
Tucnak,Contest logging,Contest logging,Linux / Windows,VHF contest logger with networking and skeds,"CAT rig control via Hamlib, CW keying, sound-card for meteor-scatter/talk",Free / Open-source,By OK1ZIA.
Win-Test,Contest logging,Contest logging,Windows,Networked HF/VHF contest logger favored by big-gun stations and DXpeditions,"CAT rig control, PTT, CW/voice-memory keying, SO2R switching, band decoder output",Commercial,By F5MZN/F6FVY. DXLog.net was forked from an earlier shared codebase.
WriteLog,Contest logging,Contest logging,Windows,Contest logger with strong built-in RTTY/PSK support,"CAT rig control, PTT, sound-card RTTY/PSK TX/RX (built-in via MMTTY/2Tone/RITTY), CW keying",Commercial,By W5XD. Long the standard for serious RTTY contesting.
YFKtest,Contest logging,Contest logging,Linux,Console contest helper with Cabrillo export,"CAT rig control via Hamlib, CW keying",Free / Open-source,By DJ1YFK.
zLog,Contest logging,Contest logging,Windows,Full-featured JA and international contest logger with networked multi-op synchronization,CAT rig control + CW keying (serial/USB/parallel) + PacketCluster,Free/Open-source,Very popular Japanese contest logger (zLog for Windows); regional gap in the list
2Tone,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,Free dual-path RTTY decode engine noted for strong weak-signal performance; widely run as a second RTTY decoder alongside MMTTY.,Decodes transceiver audio via sound card (receive-decode; TX handled by the host logger).,Free,"By David Wicks G3YYD. Integrates with N1MM Logger+, WriteLog, etc. RTTY-only."
AndFlmsg,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Android,"Android port of the fldigi/flmsg NBEMS suite supporting MFSK, RTTY, PSK, THOR, Olivia and CW for message exchange.",Audio in/out to the radio via acoustic coupling or a wired interface; VOX/interface PTT.,Open-source,By the fldigi/NBEMS team. Transmits and receives digital modes through phone audio.
cocoaModem,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),macOS,"Mac multimode modem implementing RTTY, PSK, MFSK, Hellschreiber, CW, SITOR and HF-FAX.",Sound-card audio in/out; CAT and PTT/FSK keying via serial.,Free,By Kok Chen W7AY. Open-source; last updated ~2012 but still used on older Macs.
CW Decoder (mobile),CW / RTTY skimmer & keyer,CW decoder/keyer,Android / iOS,"Real-time Morse decoder apps that copy CW to text, often with BPF, AGC and noise-blanker DSP.",Microphone/audio input from a receiver's audio.,Free,"Generic entry for the many similarly named store apps (e.g. 'CW Decoder', 'Morse Code Reader'); receive-only via audio."
CW Player,CW / RTTY skimmer & keyer,CW decoder/keyer,Windows,CW keyboard sender and trainer that transmits Morse and can decode received CW.,Transmits CW via sound-card tone or keys the rig; PTT via COM.,Free,By Patrick Lindecker F6DQM. Companion to his MultiPSK work.
CW Skimmer,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,"Multi-channel Morse (CW) decoder/analyzer that simultaneously decodes every CW signal across the receiver passband, extracts callsigns and plots them on a waterfall using a Bayesian decoder; feeds spots via a built-in telnet server.",Takes SDR I/Q (SoftRock/QS1R/RX-888 etc.) or sound-card audio in; controls receiver tuning via CAT/Omni-Rig; outputs decoded-signal telnet spots.,Commercial,By Alex Shovkoplyas VE3NEA / Afreet Software (dxatlas.com). ~$75. The original desktop skimmer; also drives the Reverse Beacon Network via Aggregator.
CW Skimmer Server,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,Headless multi-band version of CW Skimmer that decodes CW on several full bands at once from one wideband SDR and serves spots over telnet.,"Wideband SDR I/Q input (QS1R, RX-888, Perseus, Red Pitaya, etc.); telnet spot output to loggers / RBN Aggregator.",Commercial,VE3NEA / Afreet. Backbone of many RBN CW nodes. Originally QS1R-only; now supports several wideband SDRs.
CW Studio,CW / RTTY skimmer & keyer,CW decoder/keyer,Android / iOS,"Morse practice, training and (Pro) audio-decode app that can decode CW from sound.",Microphone audio input from a receiver (Pro decoder).,Donationware,Free with a paid PRO audio decoder; primarily a trainer that can copy off-air CW.
cwdaemon,CW / RTTY skimmer & keyer,CW keyer host / WinKeyer,Linux / Raspberry Pi,"Background daemon that receives text over a UDP network socket and keys Morse, used by Linux contest loggers.",Keys CW and PTT via serial (DTR/RTS) or parallel port using libcw; a WinKeyer variant drives K1EL hardware.,Open-source,"Used by tlf, xtlf, CQRLOG. Turns typed text into keyed CW on the rig."
CwGet,CW / RTTY skimmer & keyer,CW decoder/keyer,Windows,Sound-card Morse decoder that converts received CW audio to on-screen text with a tuning spectrum.,Sound-card audio in from the receiver; optional CAT.,Commercial,"By UA9OSV, DXSoft. Shareware; pairs with CwType for TX and links to loggers like Swisslog."
CWSL_DIGI,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,"Runs many parallel FT8/FT4/RTTY/WSPR decoders across multiple bands by tapping CW Skimmer Server's shared-memory I/Q, reporting to PSK Reporter / RBN.",Reads the wideband SDR stream shared by CW Skimmer Server; network spot upload.,Open-source,By Alex Ranaldi (github.com/alexranaldi/CWSL_DIGI). Needs CW Skimmer Server + CWSL bandwidth plugin running.
CwType,CW / RTTY skimmer & keyer,CW decoder/keyer,Windows,"CW keyboard/terminal that transmits Morse typed from the keyboard, with macros and prosigns.",Keys CW and PTT via COM/LPT lines or generates keyed sound-card side-tone.,Free,"By UA9OSV, DXSoft. Free; typically paired with CwGet for full transceive."
Digital Master 780 (DM780),CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows,"Multimode component of Ham Radio Deluxe for CW, RTTY, PSK, MT63, SSTV and more, with a SuperSweeper multi-signal decode view.",Sound-card audio in/out; CAT via HRD Rig Control; PTT via COM/VOX/CAT; supports FSK RTTY.,Commercial,Ham Radio Deluxe (older HRD versions were free). Tight logbook + rig-control integration.
DroidRTTY,CW / RTTY skimmer & keyer,RTTY decoder/engine,Android,Encodes and decodes amateur RTTY with a tuning waterfall and 20 TX macros.,Audio coupling to the radio — phone mic/speaker or a wired/Wolphi-Link interface for RX audio and AFSK TX; VOX or interface PTT.,Commercial,By Wolphi (DK5WL). ~$7-9 on Google Play; pairs with the WolphiLink interface.
EXTFSK / XMMT.ocx,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,Helper add-on that provides true FSK and PTT keying for MMTTY-based programs; XMMT.ocx is the MMTTY ActiveX modem control used by host loggers.,Keys FSK and PTT over COM/LPT or USB-serial adapter lines to the transceiver.,Free,Companion to MMTTY (JE3HHT). Essential glue for FSK RTTY with USB-serial adapters in N1MM+/WriteLog/WinWarbler.
Flwkey,CW / RTTY skimmer & keyer,CW keying,Windows / macOS / Linux / Raspberry Pi,Control program for K1EL WinKeyer CW keyers,Keys CW to the rig through a WinKeyer over serial/USB; handles PTT,Open-source (GPL),Fl* suite CW companion
gMFSK,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Linux,"Early Linux multimode modem (RTTY, CW, MFSK, PSK, Hell, THROB) — the codebase that fldigi grew from.",Sound-card (OSS/ALSA) audio in/out; Hamlib CAT/PTT.,Open-source,Legacy; largely superseded by fldigi but still packaged in some distros and used by tlf.
GRITTY,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,"Single-signal RTTY decoder built on RTTY-Skimmer technology; statistical squelch prints text only when error probability is low, so it emits little garbage during silence.",Decodes 3 kHz of transceiver audio via sound card (receive-only decoder).,Free,VE3NEA / Afreet (dxatlas.com/gritty). Popular as a second-decoder in N1MM Logger+ since 2015.
Ham Morse,CW / RTTY skimmer & keyer,CW decoder/keyer,iOS,CW decoder and code trainer that copies received Morse to text.,Microphone/audio input from a receiver's speaker.,Commercial,By Black Cat Systems (Chris Smolinski KC2WACG). Paid App Store app.
HamComm,CW / RTTY skimmer & keyer,RTTY/CW legacy digital,DOS,"Decode/encode RTTY, CW, ASCII and AMTOR via a simple serial-port comparator modem",comparator hardware modem on serial port; audio from RX; PTT,Free,"Classic 1990s program; the 'HamComm interface' became a de-facto standard emulated by RadioRaft, JVFAX, etc."
Hamscope,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows,"Free multimode terminal for PSK31, RTTY, CW, MFSK and packet with a tuning waterfall.",Sound-card audio in/out; PTT/CAT via COM.,Free,Legacy program still in occasional use; light-weight alternative to fldigi.
HotPaw Morse Decoder,CW / RTTY skimmer & keyer,CW decoder/keyer,iOS / macOS,Translates received Morse/CW audio to text using DSP signal analysis.,Microphone/line-in audio from a receiver.,Commercial,By HotPaw Productions. Universal iOS app with a macOS version.
Iambic Master,CW / RTTY skimmer & keyer,CW keyer host / WinKeyer,Windows,Trainer/utility to practice accurate paddle sending using a K1EL WinKeyer or compatible device.,Connects to a WinKeyer whose paddle input and keyed output are wired to the rig; keys via the WinKeyer.,Free,"K1EL Systems. Primarily send-practice, but drives the same keyer that keys the radio."
IZ8BLY RTTY,CW / RTTY skimmer & keyer,RTTY (legacy),Windows,Baudot RTTY terminal,"Sound-card audio, or FSK/PTT via COM port",Free (legacy),By IZ8BLY
K1EL WinKeyer host software (WK / WKdemo / WK3tools),CW / RTTY skimmer & keyer,CW keyer host / WinKeyer,Windows,"Configuration and terminal software for K1EL WinKeyer USB devices — set speed, weighting, load message memories and send from the keyboard.",The WinKeyer hardware keys CW and asserts PTT to the transceiver over its key/PTT lines; app talks to it over USB-serial.,Free,By K1EL Systems (Steve Elliott K1EL). WinKeyer is the standard host-controlled CW keyer used by most loggers.
K3NG CW Keyer,CW / RTTY skimmer & keyer,CW keyer host / WinKeyer,Arduino,"Open-source Arduino Morse keyer firmware with memories, contest features and WinKeyer 1.0/2.0 emulation.",Keys CW and PTT lines to the transceiver; presents a USB WinKeyer/host interface to logging software; some builds do PTT/CAT sequencing.,Open-source,"By Anthony Good K3NG (Radio Artisan). Runs on many DIY/commercial keyer boards (NanoKeyer, Funtronics FK-10, etc.)."
MixW,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows,"Multimode sound-card program (RTTY, CW, PSK, MFSK, packet, SSTV, Hell) with an integrated logbook and DX-cluster.",Sound-card audio in/out; CAT rig control; PTT/FSK/CW keying via COM.,Commercial,By Nick Fedoseev UT2UZ / Denis Nechitailov UU9JDR. Long-running shareware; MixW4 is the current line.
MMTTY,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,"The de-facto standard sound-card RTTY terminal and decode/encode engine, used stand-alone and as the RTTY engine inside most contest loggers.",Sound-card AFSK on RX/TX; true FSK and PTT keying via COM/LPT or (with EXTFSK) USB-serial; optional CAT.,Free,"By Makoto Mori JE3HHT (MM Hamsoft). Engine embedded in N1MM+, WriteLog/RttyRite, WinWarbler, RCKRtty, etc."
MMVARI,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,"Multi-mode sound-card program/engine for RTTY, PSK31/63, FSK and MFSK with multi-channel decode.",Sound-card audio in/out; PTT and CAT via COM.,Free,JE3HHT (MM Hamsoft). Alternate RTTY/PSK engine option in N1MM Logger+.
