Manufacturer,Model,Category,Connection,Compatibility,Notes
MFJ Enterprises,MFJ-1205 (D13I / D8 / J45 / J11 / UT),sound card interface,USB,"Variants for Icom 13-pin DIN, 8-pin DIN data, RJ-45 mic, RJ-11 mic, and bare/un-terminated leads; CW, RTTY, SSTV, AMTOR, PSK31, EchoLink, MT-63, WINMOR, WSPR, WSJT-X, digital voice","USB-to-radio multimode interface with dedicated on-board sound card; plug-and-play, USB-powered, no-solder jumper setup."
MFJ Enterprises,MFJ-1213,sound card interface,RS-232 serial (COM-port comparator),"HamComm / JVFAX software; receive-decode of Baudot, ASCII, AMTOR, SITOR A/B, NAVTEX, WeFax/SSTV",Legacy comparator-style computer interface (NOT a true modern sound-card interface); uses the serial port for FAX/RTTY receive with JVFAX/HamComm. Included for completeness. Discontinued.
MFJ Enterprises,MFJ-1275 / MFJ-1275M,sound card interface,3.5mm audio (PC sound card) + RS-232 serial PTT,"Transceivers with 8-pin modular mic connector; PSK31, packet, APRS, AMTOR, RTTY, SSTV, CW, meteor-scatter","Soundcard-to-radio interface with isolation transformer (no ground loops), TX/RX level controls, ON/BYPASS switch. Uses the computer's sound card."
MFJ Enterprises,MFJ-1279 / 1279M / 1279T,sound card interface,3.5mm audio (PC sound card) + RS-232 serial PTT,8-pin round mic radios (1279T = 4-pin Ten-Tec); all sound-card digital modes,"'Deluxe/Ultimate' model: all MFJ-1275 features plus a direct CW/FSK keying jack and an auxiliary input (tape/camcorder/VCR audio). Ships with RS-232 cable, AC adapter, audio cables, software."
microHAM,DIGI KEYER II,combined (sound+CAT),USB,CAT: RS-232/CI-V/Kenwood/Yaesu TTL,Digital-modes-focused interface with sound card + isolated CAT + PTT/FSK.
microHAM,DigiKeyer II,combined (sound+CAT),USB,"All supported radios via CAT/CI-V; RTTY, PSK31, SSTV, packet, FT8, etc.; supports micro2R and Fldigi p-FSK/q-CW","Digital-focused all-in-one: built-in USB sound card + optically-isolated CAT, PTT, FSK and CW. Single USB to any Windows logging/digital program via virtual COM ports."
microHAM,micro KEYER III,combined (sound+CAT),USB,CAT: RS-232/CI-V/Kenwood/Yaesu TTL; nearly all modern HF rigs,"Flagship single-radio all-in-one (24-bit audio) for CW/voice/FSK/digital with integrated CAT rig control, FSK, WinKey-style CW keyer, PTT and footswitch."
microHAM,micro KEYER III (MK III),combined (sound+CAT),USB,"Single-radio all-mode; CW/SSB/AM/FM/digital, CAT/CI-V for all supported rigs","Current flagship single-radio all-in-one: built-in sound card + rig control + keying, fully isolated."
microHAM,micro2R (u2R) / MK2R+,combined (sound+CAT),USB,Two-radio SO2R contesting; dual rig control,Two-radio controller with dual built-in sound cards + dual CAT + automatic antenna/PA switching and stereo audio routing for SO2R.
microHAM,microKEYER II,combined (sound+CAT),USB,"Any Windows logging/control program; CW, SSB, AM, FM and digital (RTTY, PSK31, SSTV, APRS, packet)","Most powerful single-radio all-in-one: built-in sound card + rig control (CAT/CI-V) + CW memory keyer + PA/LNA keying buffer, all isolated, over one USB port."
microHAM,MK2R+ / u2R,combined (sound+CAT),USB,CAT: RS-232/CI-V/Kenwood/Yaesu TTL; SO2R,SO2R contest interface: dual sound + dual CAT + WinKey keyer + band-decoder/microHAM Router control.
microHAM,USB Interface II,combined (sound+CAT),USB,Icom/Kenwood/Yaesu/Ten-Tec; CAT/CI-V + PTT/CW/FSK/squelch,Lower-cost interface providing isolated rig control and keying over one USB; audio uses the computer's own sound card (no built-in codec).
microHAM,USB Interface III,combined (sound+CAT),USB (built-in sound card + virtual COM),"Opto-isolated CAT supporting RS-232, Icom CI-V, Kenwood, and Yaesu TTL levels; most HF rigs",Low-cost all-in-one: USB sound card + fully opto-isolated CAT + CW (DTR) + PTT (RTS) + pseudo-FSK/QSK on the audio right channel. Works on Windows/Mac/Linux.
NW Digital Radio,DRAWS (Digital Radio Amateur Work Station),sound card interface,Raspberry Pi HAT (40-pin GPIO),"Raspberry Pi 3/4 (ARMv7+); Direwolf, Fldigi, WSJT-X, AX.25, AllStar; dual-radio",Codec HAT with dual rig audio ports + GPS/PPS + battery-backed RTC + native 12V power. Aimed at off-grid/portable Winlink/packet/FT8. No CAT.
NW Digital Radio,UDRC / UDRC II,sound card interface,Raspberry Pi HAT (40-pin GPIO),"Raspberry Pi 2/3/4 (not ARMv6 Pi Zero/1); Direwolf, AX.25, Fldigi, WSJT-X, D-STAR (dstarrepeater), AllStar",Pi HAT with a high-performance TI audio codec and GPIO-routed PTT; two miniDIN radio ports. No CAT (audio/PTT only).
RigExpert,Plus,combined (sound+CAT),USB,Many rigs; CAT + PTT/CW/FSK with added FSK/features over Standard,Uprated legacy RigExpert USB interface. Audio via PC sound card. Discontinued in favor of TI-3000/5000.
RigExpert,Standard,combined (sound+CAT),USB,Many rigs; CAT + PTT/CW/FSK; uses the PC's sound card,Earlier RigExpert USB interface providing CAT and keying lines; audio handled by the computer's own sound card. Legacy model.
RigExpert,TI-3000,combined (sound+CAT),USB,"Dozens of modern rigs (RS-232 COM, TTL CAT, CI-V); MixW, MMTTY, WSJT, WSPR, etc.; phone/CW/digital","USB transceiver interface with high-quality stereo codec; audio in/out, CAT rig control, PTT and CW on RTS/DTR of a virtual COM port. Windows/macOS/Linux."
RigExpert,TI-5000,combined (sound+CAT),USB,Same broad rig support as TI-3000; adds true FSK,Like TI-3000 but with an additional separate COM port assigned for FSK output (hardware RTTY).
SOTAbeams,USB Digital Modes Interface,sound card interface,USB / 3.5mm audio,HF/VHF digital modes; isolated audio + PTT,Simple isolated digital-modes interface. NOTE: SOTAbeams' better-known WSPRlite is a self-contained USB-powered WSPR beacon transmitter (not a computer sound-card interface) and is listed separately in intent.
SOTAbeams,WSPRlite / WSPRlite Classic,sound card interface,micro-USB (5V power/config; also OTG to Android),WSPR beacon on 20/30m internal (40/80/160/630m with add-on filters); config via Windows app,"Standalone WSPR transmitter/beacon, NOT a bridge to a transceiver's audio; generates its own FSK. Included because the user listed SOTAbeams, but it is a beacon rather than a true RX/TX audio interface."
Tigertronics,SignaLink SL-1,sound card interface,3.5mm audio (to PC's own sound card) + serial PTT,Universal via radio-specific cables; mic/data/accessory ports,"Original external interface; uses the computer's sound card, transformer-isolated audio, built-in auto-PTT (internal VOX) so no serial line needed. Discontinued, superseded by SL-1+."
Tigertronics,SignaLink SL-1+,sound card interface,3.5mm audio (to PC's own sound card),"Universal; supports RTTY, PSK31, SSTV, CW, packet, EchoLink and more",Improved SL-1 with front-panel TX/RX/Delay controls and internal auto-PTT (VOX). Still relies on the PC sound card. Discontinued; the USB model is its successor.
Tigertronics,SignaLink USB (SL-USB / SL-USB-NC),sound card interface,USB (built-in low-noise USB codec),"ALL radio mic/data/accessory ports via plug-in jumper module (SLMOD) + radio cable; FT8/FT4, PSK31, RTTY, SSTV, JT65/JT9, WSPR, Olivia, EchoLink node, packet, Winlink, etc.","Combines SL-1+ analog section with an integrated, fully-isolated USB sound card; internal auto-PTT (no COM port needed). No CAT/rig control. Current flagship; the single most common ham digital interface."
Timewave,Navigator LT,sound card interface,USB,Sound-card digital modes; FSK/CW/PTT,"Lower-cost Navigator variant providing the sound-card, FSK, CW and PTT functions without the full rig-control (CAT) section."
Timewave (formerly US Interface),Navigator,combined (sound+CAT),USB (built-in sound card + serial),"Icom CI-V, Yaesu CAT, Kenwood, and other TTL/RS-232 rigs","USB interface with built-in sound card AND CAT rig control (logic-level and RS-232 ports), FSK, PTT, and CW keying — a full one-box digital + control solution."
Timewave (formerly US Interface),Navigator (NAV-9),combined (sound+CAT),USB (single cable),"Most transceivers; PSK31, Olivia, MFSK, Hellschreiber, MT-63, RTTY, CW","General-purpose sound-card modem + rig controller: all audio, precise FSK, CW and PTT plus CAT rig control over one USB. Multiple virtual COM ports."
Unified Microsystems,SCI-6,sound card interface,3.5mm audio (PC sound card) + RS-232 serial PTT,"PSK31, RTTY, WSJT, EchoLink and other digital modes via PC sound card",Kit interface: TX and RX audio transformer isolation + opto-isolated PTT off a serial port; requires no external power (COM PTT line supplies it). Machined case included.
West Mountain Radio,RIGblaster Advantage,combined (sound+CAT),USB,Icom/Yaesu/Kenwood via jumper-configured control port + CI-V/CAT/RS-232,Sound-card interface family member that also carries a CAT/rig-control serial path (unlike the audio-only RIGblaster Nomic/Plug&Play). KW232 add-on module handles Kenwood level conversion.
West Mountain Radio,RIGblaster Blue,combined (sound+CAT),Bluetooth (+ USB for power/config),"Pairs with PC, tablet or smartphone; also pairs a BT headset for RX/TX audio",Wireless integrated Bluetooth interface providing a sound device plus a rig-control serial port. Enables tablet/phone digital operation.
West Mountain Radio,RIGblaster duo,combined (sound+CAT),USB,Two-radio operation,Two-radio RIGblaster variant with sound + rig control. Older/less common model.
West Mountain Radio,RIGblaster DXpro,combined (sound+CAT),USB,Radios with main+sub receivers; SO2V/SO2R operation,"Dual high-performance built-in sound cards to monitor main and sub receivers simultaneously, plus rig control. Run digital programs on each channel."
West Mountain Radio,RIGblaster GO,sound card interface,USB,PC and Android tablets; general digital modes,Compact interface with a built-in USB sound card aimed at portable/tablet use. Details limited/older product; no rig control.
West Mountain Radio,RIGblaster M8 / M4 / RJ,sound card interface,RS-232 serial + 3.5mm audio (PC sound card),"M8 = 8-pin round mic, M4 = 4-pin mic, RJ = modular (RJ) mic radios",Older 'standard' RIGblaster family; use the computer's sound card with serial-port PTT keying. No CAT.
West Mountain Radio,RIGblaster Nomic,sound card interface,USB or RS-232 serial (versions),2000+ radios via mic connector; dedicated digital station use,"Small, simple, rugged, inexpensive. Uses the PC's sound card; PTT via COM-port RTS/DTR (or built-in USB-serial on USB version). No CAT."
West Mountain Radio,RIGblaster Plug & Play,combined (sound+CAT),USB,Most radios with a round mic connector; works with 100+ sound-card programs,Uses the computer's sound card for audio but adds a built-in USB rig-control (CAT) serial port and PTT keying. Plug-and-play mic pass-through.
West Mountain Radio,RIGblaster Plus II,combined (sound+CAT),USB,Wide radio support via Instant Setup Connectors (ISCs) for mic wiring,"Combines Plug & Play ease with the classic RIGblaster Plus features: mic pass-through, uses PC sound card, adds rig control. ~$159 with cables/software."
West Mountain Radio,RIGblaster Pro,combined (sound+CAT),USB / serial,Broad radio support; full-featured contest/digital station,"Top standalone model with built-in sound device, rig control, CW/FSK keying and front-panel controls."
Wolphi,Wolphi-Link (interface),sound card interface,4-pin 3.5mm TRRS (to Android device) + 6-pin miniDIN (to radio),"Android phones/tablets with DroidPSK, DroidRTTY, DroidSSTV, Morse decoder; FT-817/857/897 and similar",No-PC Android-to-radio interface; amplifies audio and switches PTT using the phone's mic-bias voltage. Works with radios lacking VOX. Android only (not iOS).
Xggcomms,USB CAT / Digimode interface cables,combined (sound+CAT),USB (FTDI),"Icom, Yaesu, Kenwood, Xiegu, Wouxun (per-rig CAT cables and Digimode-4 audio interfaces)",UK vendor offering both CAT-only cables and combined CAT+audio (Digimode-4) interfaces; also resells/rebrands G4ZLP DigiMaster designs.
Xggcomms / ham-interfaces.com,"EasyDigi (""EASY DIGI"")",sound card interface,3.5mm audio (PC sound card) + RS-232/USB-serial PTT,"HF & VHF/UHF; DIGIPAN, Fldigi, MMTTY, MMSSTV, HRD/DM-780; PSK31/63, RTTY, SSTV, NBEMS, FT8/FT4, JT-65",Single-board isolated interface: two 600Ω line transformers (TX/RX audio) + opto-coupled PTT off a serial port. Sold assembled and as a very low-cost DIY kit (generic design sold by many vendors).
Xggcomms / ham-interfaces.com,USB Digimode-1,combined (sound+CAT),USB,Radio-specific; CAT + digi-mode PTT,USB CAT and digi-mode interface providing rig control and keying; audio typically via PC sound card. Entry model of the Digimode range.
Xggcomms / ham-interfaces.com,USB Digimode-3 (Icom / Xiegu / Yaesu variants),sound card interface,USB,"Model-specific (Icom, Xiegu, Yaesu); WSJT-X, JTDX, Fldigi, EchoLink, PSK31, DM780, N1MM, MixW, VARA, Winlink","Built-in USB sound card, fully galvanically isolated audio (600:600Ω Bourns transformers) and VOX-operated opto-isolated PTT. Keeps the PC's own sound card free. No CAT."
Xggcomms / ham-interfaces.com,USB Digimode-4 (Icom / Xiegu variants),combined (sound+CAT),USB,"Model-specific Xiegu/Icom; FT8, JT65, PSK, EchoLink and any AFSK mode",Built-in USB sound card PLUS USB CAT control; transformer-isolated audio and opto-isolated hardware PTT.
Yaesu,"Built-in USB Codec (FT-991/991A, FTDX10, FTDX101, FT-710)",combined (sound+CAT),"USB (built-in, single cable)","WSJT-X, Fldigi, JS8Call, RTTY, PSK; CAT over enhanced/standard COM ports","Newer Yaesu rigs embed a USB sound codec plus dual virtual COM ports, so no SCU-17 is needed. Requires Yaesu virtual COM/CDC driver."
Yaesu,CT-39A,combined (sound+CAT),6-pin mini-DIN 'DATA/PKT' pigtail to bare leads,"FT-817/818/857/897/100, FTDX1200/3000, FT-450/891/991/710, FT-7900/8800/8900",Data/packet audio pigtail (not a CAT-serial cable itself) commonly wired into homebrew soundcard interfaces; provides AF-in/AF-out/PTT/squelch. Listed for completeness since it is the audio half often paired with a CT-62 CAT cable.
Yaesu,SCU-17,combined (sound+CAT),USB (single cable; built-in USB audio codec + virtual COM),"Yaesu CAT (RS-232 or TTL depending on rig); FT-450D, FT-950, FTDX1200, FTDX3000, FT-817/818/857/897 (needs CT-62), FTDX5000 (needs SCU-21), FTDX9000 (needs SCU-22)",Yaesu's own interface unit: USB sound card for digimode TX/RX audio plus CAT serial and PTT/CW keying lines in one box. Replaces separate soundcard + CAT cable.
Yaesu,SCU-18,combined (sound+CAT),USB,Yaesu CAT; same role as SCU-17,Later-production USB interface unit; functional successor/variant of the SCU-17 (sound + CAT + PTT/keying over one USB cable).
Yaesu,SCU-58,combined (sound+CAT),USB,FTM-series mobiles (WIRES-X / data),"WIRES-X / data connection cable kit (SCU-57/58); primarily programming and data, not full HF CAT. Included for completeness of the Yaesu USB-cable line."
ZLP Electronics (G4ZLP),DigiMaster DataLink,sound card interface,USB,AFSK data modes; switched sockets support two radios,Built-in high-quality USB soundcard with professional isolating transformers and dual-radio switching. Data-only.
ZLP Electronics (G4ZLP),DigiMaster MiniProSC,sound card interface,USB,"ALL AFSK data modes/software (FT8, PSK31, RTTY, etc.); radio-specific cables","Most popular G4ZLP data-only interface; built-in low-noise Texas Instruments USB codec, pro isolating transformers, automatic PTT generated from software tones. No CAT."
ZLP Electronics (G4ZLP),DigiMaster ProSC / Pro (CAT variants),combined (sound+CAT),USB,Wide radio range; combined data + rig control on higher models,G4ZLP 'Pro' DigiMaster line adds CAT/rig-control alongside the built-in USB codec and isolation. Sold in data-only and CAT-combined configurations.
