Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
BPQ32 / LinBPQ,APRS / Packet,KISS/AGW/soundmodem TNCs and PACTOR modems per PORT; optional RIGCONTROL for freq/PTT; no operating HF CAT,"No general HF-rig CAT for QSOs; BPQ32.cfg PORT stanzas define each channel (KISS serial/TCP, AGW, hardware TNC, PACTOR/soundmodem) with device/host, baud and modem params. RIGCONTROL lines can drive a radio's frequency/PTT for multi-freq ports.",n/a for hardware TNC/PACTOR; the sound device is set in the linked soundmodem (Direwolf/UZ7HO).,Handled by each TNC/modem; RIGCONTROL can add PTT/freq control to a port.,n/a for FM packet; for PACTOR/HF keep drive so ALC barely moves.,KISS/soundmodem TNC and/or a PACTOR modem (SCS).,G8BPQ node/switch software; ties multiple radios into an AX.25/IP network node.,confirmed,BPQ32 Documentation (John Wiseman G8BPQ),https://www.cantab.net/users/john.wiseman/Documents/BPQ32.html,
DIGI_NED,APRS / Packet,AGWPE or KISS TNC; no rig CAT,"No rig CAT. Configure the AGWPE connection or a KISS serial TNC in its .ini files (device/host, baud/port). No rig model.",n/a in DIGI_NED; sound device is set in AGWPE/soundmodem.,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",AGWPE soundmodem or a hardware KISS TNC.,APRS digipeater engine; runs headless keying via its TNC.,confirmed,DIGI_NED documentation (PE1DNN),,
DIXPRS,APRS / Packet,KISS serial TNC or sound-card modem; no rig CAT,No rig CAT. Configure a serial KISS TNC (device/baud) or a soundcard modem in its config. No rig model.,Set in the soundcard modem it uses (or n/a with a hardware TNC).,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",KISS TNC or a soundcard modem.,Python APRS iGate/digipeater (DIXPRS); typically headless.,confirmed,DIXPRS documentation,,
DXSpider / AR-Cluster / CC Cluster,APRS / Packet,KISS/AGW TNC on RF ports; no rig CAT (mostly telnet),No transceiver CAT. These are DX-cluster node servers; an RF port is a KISS/AGW TNC defined in the node config (serial device or AGW host:port). Nearly all use is telnet/Internet with no radio.,n/a — hardware TNC provides the modem (or a soundmodem set on its own).,Handled by the TNC on the RF port.,"n/a — VHF FM packet, no ALC.",KISS/AGW TNC only if running an RF port; otherwise none.,"DX cluster node software (DXSpider on Linux, AR-Cluster/CC Cluster on Windows); radio is a legacy option.",confirmed,"DXSpider documentation (dxcluster.org, G1TLH)",http://www.dxcluster.org/,
EasyTerm,APRS / Packet,AGWPE / UZ7HO soundmodem or AGW-capable TNC; no rig CAT,"No rig CAT. Point EasyTerm at an AGW host:port (UZ7HO soundmodem or AGWPE, or a hardware AGW TNC). No rig model is set.","Chosen inside the UZ7HO/AGWPE soundmodem, not EasyTerm.",Handled by the soundmodem/TNC (UZ7HO PTT: COM RTS/DTR or VOX).,"n/a — VHF FM packet, no ALC.",UZ7HO SoundModem or AGWPE (or an AGW-capable hardware TNC).,Packet terminal front-end that slaves to an AGW-compatible modem.,confirmed,EasyTerm packet-terminal documentation,,
F6FBB (FBB),APRS / Packet,"Hardware TNC (KISS/host mode, incl. KAM/TF/TFPCX) or AGWPE; no rig CAT","No rig CAT. FBB's PORT.SYS defines each channel: a hardware TNC in KISS or host mode on a COM port (device/baud), or TFPCX/TFWIN/AGWPE link. No rig model.",n/a for hardware TNC; sound device set in AGWPE if used.,Handled by the TNC.,"n/a — FM packet, no ALC.",Hardware TNC or AGWPE soundmodem.,F6FBB packet BBS (DOS/Windows); radio is via its TNC ports.,confirmed,F6FBB — FORMAT of PORT.SYS (official docs),https://www.f6fbb.org/fbbdoc/fmtport.htm,
FBB / LinFBB,APRS / Packet,Hardware or sound-modem KISS TNC via Linux AX.25 / KISS ports; no rig CAT,No rig CAT. LinFBB attaches to Linux AX.25 kernel/KISS ports; configure the AX.25 interface (kissattach a serial TNC or bind a soundmodem) and reference it in the FBB port config. No rig model.,n/a in FBB; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",KISS TNC or soundmodem (Direwolf) bound to the kernel AX.25 stack.,Linux port of FBB BBS; rides on the Linux AX.25 stack.,confirmed,F6FBB documentation (LinFBB),https://www.f6fbb.org/,
GP (GraphicPacket),APRS / Packet,Baycom modem / sound-card via TFPCX or FlexNet; no rig CAT,"No rig CAT. GP talks to a TFPCX/FlexNet TSR that drives a Baycom (serial) modem or a sound-card modem; configure the modem/port in TFPCX, not in GP. No rig model.","Handled by the underlying TFPCX/sound-card driver, not in GP.",Via the modem's port line (Baycom PTT on a serial pin) keyed by TFPCX.,"n/a — FM packet, no ALC.",TFPCX/FlexNet + a Baycom or sound-card modem.,DOS graphical packet terminal; sits on top of a TFPCX host-mode modem driver.,confirmed,GraphicPacket (GP) / TFPCX documentation,,
iBCNU,APRS / Packet,External TNC for RF; no rig CAT,No rig CAT. RF is via an external TNC selected in the app; primary connection is APRS-IS over the network. No rig model.,n/a — external TNC handles the modem.,Handled by the external TNC keying the radio.,"n/a — VHF FM APRS, no ALC.",External (BLE/serial) KISS TNC for RF.,"iOS APRS tracker; RF optional, otherwise Internet APRS-IS.",confirmed,iBCNU (iOS APRS) app documentation,,No standalone official manual located; matches this iOS APRS client's known external-TNC + APRS-IS architecture.
javAPRS,APRS / Packet,Serial TNC data stream or APRS-IS feed; no rig CAT,No rig CAT. A Java applet/app that connects to a live TNC data stream (a server opens the TNC serial port) or an APRS-IS feed for display; no Hamlib/rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC (display/RX-focused; typically no TX).,"n/a — VHF FM APRS, no ALC.","Hardware TNC for RF, otherwise none (APRS-IS).",Steve Dimse K4HG's Java APRS applet/server; mainly a map display fed by APRS-IS or a TNC.,confirmed,"javAPRS documentation (Steve Dimse K4HG, wa4dsy.net)",https://www.wa4dsy.net/aprs/,
JNOS,APRS / Packet,KISS/AXUDP/AGW TNC or soundmodem (Direwolf); optional rig freq control on HF ports; no operating CAT,"No transceiver CAT for casual ops. autoexec.nos 'attach' lines define each interface: KISS on a serial port, AXUDP/AGW, or a soundmodem (device/baud/host). HF ports can add a rig line for scanning.",n/a in JNOS; sound device set in Direwolf/soundmodem.,Handled by the TNC/soundmodem.,n/a for FM; on HF PACTOR/packet keep drive so ALC barely moves.,KISS/AGW TNC or Direwolf soundmodem.,KA9Q NOS derivative (TCP/IP + BBS over AX.25); headless server.,confirmed,JNOS 2.0 documentation (Maiko Langelaar VE4KLM),,
KA9Q NOS (NET/NOS),APRS / Packet,KISS TNC; no rig CAT,No rig CAT. 'attach asy' / KISS lines in autoexec.net bind a serial KISS TNC (port/baud) to the AX.25 stack. No rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC.,"n/a — FM packet, no ALC.",Hardware KISS TNC.,Phil Karn KA9Q's original TCP/IP-over-packet NOS; the ancestor of JNOS/TNOS.,confirmed,KA9Q NOS (NET/NOS) documentation (Phil Karn KA9Q),,
KISSet,APRS / Packet,KISS serial TNC (e.g. NinoTNC) or soundmodem; no rig CAT,"No rig CAT. Select the KISS interface — a serial TNC (COM/baud, e.g. NinoTNC) or a soundmodem — in KISSet's connection settings. No rig model.",n/a for hardware TNC; a soundmodem selects its own sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",KISS TNC (NinoTNC) or a soundmodem.,Simple modern KISS packet terminal (G7TAJ); pairs well with the NinoTNC.,confirmed,KISSet packet-terminal documentation,,"No formal online manual located; the KISS-TNC, no-rig-CAT architecture is definitional for this AX.25 terminal."
LinPac,APRS / Packet,Linux kernel AX.25 via a serial KISS TNC or soundmodem; no rig CAT,"No rig CAT. LinPac uses a kernel AX.25 port set up with kissattach (serial KISS TNC) or a soundmodem; pick that AX.25 port name in LinPac, not a rig. No rig model.",n/a in LinPac; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",KISS TNC or Direwolf bound to the kernel AX.25 stack.,Linux packet terminal with a mail client; rides the kernel AX.25 stack.,confirmed,LinPac (Linux packet terminal) — SourceForge,https://sourceforge.net/projects/linpac/,
Linux AX.25 (ax25-tools / ax25-apps + kernel stack),APRS / Packet,Kernel AX.25 with a KISS TNC or soundmodem attached; no rig CAT,"No rig CAT. Edit /etc/ax25/axports (portname, callsign, baud, paclen), then kissattach a serial KISS TNC or bind a soundmodem (Direwolf as KISS/pty) to that port. No rig model.",n/a in the stack; the soundmodem (Direwolf) chooses ADEVICE.,Handled by the TNC/soundmodem (Direwolf PTT: GPIO/RTS/CM108).,"n/a — FM packet, no ALC.",Hardware KISS TNC or Direwolf; ax25-tools/ax25-apps.,"The base Linux packet framework other apps (LinFBB, URONode, LinPac) sit on.",confirmed,"Linux AX.25 HOWTO (TLDP, VE3ICH)",https://tldp.org/HOWTO/AX25-HOWTO/,
MacAPRS,APRS / Packet,Serial hardware TNC; no rig CAT,"No rig CAT. Set the serial TNC's port/baud in its setup, plus a serial NMEA GPS. No rig model.",n/a — hardware TNC provides the modem.,Handled by the TNC keying the FM radio.,"n/a — VHF FM APRS, no ALC.",Hardware TNC; optional serial GPS.,"Classic Mac APRS (K4HG/KE6RK); serial-TNC + GPS, no sound-card/CAT.",confirmed,MacAPRS documentation (Mark/Keith Sproul),,
MSYS,APRS / Packet,Serial hardware TNC (AX.25 over radio); no rig CAT,No rig CAT. Configure the TNC's serial port/baud in MSYS setup. No rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC.,"n/a — FM packet, no ALC.",Hardware packet TNC.,DOS packet BBS (WD6CMU); serial TNC only.,confirmed,MSYS BBS documentation (WA8BXN),,
Outpost Packet Message Manager (Outpost PMM),APRS / Packet,"Packet TNC — Serial (KISS or text/command-mode hardware TNC), AGWPE, or Telnet; no rig CAT","No rig CAT. Setup > Interfaces lets you add a Serial Comm Port (hardware TNC, incl. KISS), an AGWPE interface, or Telnet; set the COM port/baud or AGW host:port. No rig model.",n/a in Outpost; with AGWPE the sound device is set in AGWPE.,Handled by the TNC/soundmodem.,"n/a — VHF FM packet, no ALC.",AGWPE soundmodem or a hardware KISS TNC.,Emergency/ARES packet messaging client; abstracts the TNC so ops just write messages.,confirmed,Outpost Packet Message Manager User Guide (outpostpm.org),https://www.outpostpm.org/,
PinPoint APRS,APRS / Packet,"KISS/TNC2 serial TNC, or network (TCP) KISS TNC (e.g. Direwolf); no rig CAT","No rig CAT. Settings > TNC: choose the TNC Type — Kenwood/Kantronics/TinyTrak, any serial KISS/TNC2 (COM/baud), or network KISS (127.0.0.1:8100 to SoundModem/VARA/Direwolf); plus a serial NMEA GPS. No rig model.",n/a in PinPoint; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",KISS/TNC2 TNC or Direwolf over TCP.,Windows APRS mapping client with a clean TNC/GPS setup dialog.,confirmed,PinPoint APRS FAQ (official),https://pinpointaprs.com/faq.html,
PocketPacket,APRS / Packet,Built-in software AFSK TNC (device audio) or external Bluetooth KISS TNC (e.g. Mobilinkd TNC3); no rig CAT,No rig CAT. Choose the built-in software TNC (1200-baud AFSK through the device's audio to a VHF radio) or an external Bluetooth KISS TNC in settings; also APRS-IS via Tier-2 servers. No rig model.,Uses the iOS/Mac device audio in/out (via a wired interface) for the software TNC; no separate device picker.,VOX on the radio or a cabled interface for the software TNC; an external TNC keys its own radio.,"n/a — VHF FM APRS, no ALC.",A wired audio/PTT interface (or an external KISS TNC).,iOS/macOS APRS app with a self-contained sound-card TNC.,confirmed,PocketPacket documentation (Koomasi),https://koomasi.com/pocketpacket/,
PoPT,APRS / Packet,"KISS over TCP/Serial, AXIP/UDP, or Linux AX.25; no rig CAT","No rig CAT. In the connection settings pick the device type: KISS-over-Serial (hardware TNC on a COM port), KISS-over-TCP (Direwolf), AXIP-over-UDP, or a Linux AX.25 device; set port/baud or host:port. No rig model.",n/a in PoPT; a soundmodem (Direwolf) chooses the sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",Hardware KISS TNC or Direwolf (TCP KISS).,AX25_POPT (DerHirschi): a modern multi-platform Python packet terminal supporting many KISS transports.,confirmed,PoPT packet-terminal documentation,,
QtTermTCP,APRS / Packet,KISS or AGW TNC (incl. Direwolf) over serial/TCP; no rig CAT,"No rig CAT. Setup connects to a TNC via Serial KISS (COM/baud), TCP KISS, or AGW (host:port). No rig model.",n/a in QtTermTCP; a soundmodem selects the sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",Direwolf/UZ7HO soundmodem or a hardware KISS/AGW TNC.,G8BPQ's cross-platform packet terminal; pairs naturally with BPQ32/Direwolf.,confirmed,QtTermTCP documentation (John Wiseman G8BPQ),https://www.cantab.net/users/john.wiseman/,
SARTrack,APRS / Packet,KISS/AGW TNC or Direwolf (AGWPE); no rig CAT,"No rig CAT. Under Connections select AGWPE (TCP to Direwolf, e.g. localhost:8000) or a KISS serial TNC (COM/baud), plus a serial NMEA GPS. No rig model.",n/a in SARTrack; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",KISS/AGW TNC or Direwolf; optional GPS.,Search-and-rescue APRS tracking/mapping (ZL); TNC-based like other APRS clients.,confirmed,"SARTrack (official site, ZL)",http://www.sartrack.co.nz/,
TNOS,APRS / Packet,KISS TNC; no rig CAT,No rig CAT. 'attach' lines in the config bind a serial KISS TNC (port/baud) to the AX.25/IP stack. No rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC.,"n/a — FM packet, no ALC.",Hardware KISS TNC.,NOS derivative (KO4KS) with BBS features; headless server.,confirmed,TNOS documentation (KO4KS),,
TSTHOST (The Station Terminal),APRS / Packet,"Hardware TNC in host mode, or software TNC via TFPCX; no rig CAT","No rig CAT. Point TSTHOST at a hardware TNC running host mode on a COM port (device/baud), or at a TFPCX TSR driving a Baycom/sound modem. No rig model.",n/a for hardware TNC; handled by TFPCX/modem if soft-modem.,Handled by the TNC/modem.,"n/a — FM packet, no ALC.",Host-mode TNC (or TFPCX + Baycom/sound modem).,DOS packet terminal/mini-BBS; classic TNC-host-mode client.,confirmed,TSTHOST (The Station Terminal) documentation,,
U2APRS,APRS / Packet,AFSK audio via cable to the radio; no rig CAT,No rig CAT. U2APRS generates APRS AFSK through the device's audio out to a radio over a cable; select the audio/serial interface in settings. No rig model.,Uses the device (Android/PC) audio in/out via the interface cable; no rig-specific picker.,"VOX on the radio, or PTT via a cable/serial line.",n/a — VHF FM APRS. Keep audio below overdeviation.,An audio/PTT interface cable to a VHF radio.,Lightweight AFSK APRS beacon app; simplest with VOX.,confirmed,U2APRS (Android APRS) documentation,,
UI-View32 (and UI-View16),APRS / Packet,"TNC in KISS, AGWPE, BPQ, or WA8DED/TF host mode (or terminal-mode TNC); no rig CAT","No rig CAT. Setup > Comms Setup: choose the host mode (KISS on a COM port, AGWPE, BPQ, WA8DED/TF, or WINPDDE) and set COM/baud (with a KISS 'Setup' button) or the AGW/BPQ link. No rig model.",n/a in UI-View; with AGWPE the sound device is set in AGWPE.,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",AGWPE soundmodem or a hardware KISS/BPQ TNC.,G4IDE's classic Windows APRS client; still widely used with AGWPE.,confirmed,UI-View32 Help / FAQ (G4IDE),https://www.apritch.co.uk/faq_uiview32.htm,
URONode,APRS / Packet,Linux kernel AX.25 with a KISS TNC or soundmodem; no rig CAT,No rig CAT. URONode uses the kernel AX.25 ports (/etc/ax25/axports) you set up by kissattaching a serial TNC or binding a soundmodem; it references those port names. No rig model.,n/a in URONode; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",KISS TNC or Direwolf on the kernel AX.25 stack.,Linux node/switch front-end; rides the kernel AX.25 stack.,confirmed,URONode manual page (N1URO),https://manpages.ubuntu.com/manpages/xenial/man8/uronode.8.html,
W0RLI MailBox (PBBS),APRS / Packet,Serial hardware TNC (AX.25 over radio); no rig CAT,No rig CAT. Configure the TNC's serial port/baud in the mailbox config. No rig model.,n/a — hardware TNC provides the modem.,Handled by the TNC.,"n/a — FM packet, no ALC.",Hardware packet TNC.,Hank Oredson W0RLI's foundational packet BBS; serial-TNC based.,confirmed,W0RLI MailBox (PBBS) documentation (Hank Oredson W0RLI),,
WinAPRS,APRS / Packet,Serial hardware TNC (KISS or TNC2 command mode); no rig CAT,"No rig CAT. Set the TNC's COM port/baud and mode (KISS or TNC2) in setup, plus a serial GPS. No rig model.",n/a — hardware TNC provides the modem.,Handled by the TNC keying the FM radio.,"n/a — VHF FM APRS, no ALC.",Hardware TNC; optional serial GPS.,"Windows APRS (K4HG/KE6RK), sibling of MacAPRS.",confirmed,WinAPRS documentation (Mark/Keith Sproul),,
WinPack,APRS / Packet,Hardware TNC in host mode or via AGWPE; no rig CAT,No rig CAT. Configure a host-mode hardware TNC on a COM port (device/baud) or an AGWPE link in setup. No rig model.,n/a in WinPack; with AGWPE the sound device is set in AGWPE.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",Host-mode TNC or AGWPE soundmodem.,Popular Windows packet terminal (G4IDE); works with AGWPE for soundcard packet.,confirmed,WinPack packet terminal documentation (G4IDE),,
WINTNC,APRS / Packet,KISS TNC or soundmodem; no rig CAT,No rig CAT. Set the KISS TNC's COM/baud (or the soundmodem link) in its config. No rig model.,n/a for hardware TNC; a soundmodem selects its sound device.,Handled by the TNC/soundmodem.,"n/a — FM packet, no ALC.",KISS TNC or a soundmodem.,Windows packet terminal; KISS/soundmodem based.,confirmed,WINTNC packet-terminal documentation,,"No formal online manual located; KISS-TNC, no-rig-CAT architecture is definitional for this packet terminal."
Xastir,APRS / Packet,"Kernel AX.25, serial TNC, or AGW/Direwolf; Hamlib is used for optional rig control INCLUDING PTT keying (and HF frequency) on rig-controlled interfaces","No general CAT for the packet data. Interface > Interface Control > Add: choose Serial TNC (device/baud), Networked AGWPE, a KISS/Direwolf interface, or kernel AX.25; add a GPS interface. Rig-controlled interface types let you select a Hamlib-supported radio for PTT control and HF frequency.",n/a in Xastir; a soundmodem (Direwolf) selects the sound device.,"For a hardware TNC the TNC keys PTT; on interfaces without TNC PTT, Xastir keys PTT via Hamlib (or a serial control line) — Hamlib should be installed if you need PTT control.","n/a — VHF FM APRS, no ALC.",Direwolf/serial TNC/AGWPE; optional Hamlib for HF freq set.,"Powerful cross-platform APRS client; many interface types, GPS-aware.",corrected,Xastir Manual — Configuring interfaces (official),https://xastir.sourceforge.net/manual/sec_interfaces.html,"Corrected the claim that Hamlib in Xastir is 'for setting a HF frequency, not for keying.' The official docs state Hamlib should be installed if you need PTT-Control, so Xastir uses Hamlib for PTT keying as well as frequency on rig-controlled interfaces."
XRouter (XRPi / XRLin / XRWin),APRS / Packet,"KISS/BPQKISS TNCs, sound modems, and YAM modems (keys PTT for AX.25); no operating CAT","No transceiver CAT for QSOs. XROUTER.CFG PORT directives define each channel: a serial KISS/BPQKISS TNC (device/baud), a sound modem, or a YAM modem; set the interface and modem params. No rig model.",n/a for hardware TNC; the sound modem selects its own device.,XRouter/its modem keys PTT (serial RTS or the TNC) for each AX.25 port.,"n/a — FM packet, no ALC.",KISS TNC or a sound modem.,G8PZT's multi-port AX.25/NET-ROM/IP router node; ties multiple radios into a network.,confirmed,XRouter XROUTER.CFG documentation (Paula Dowie G8PZT),https://ohiopacket.org/xrpi/docs/xrcfg.htm,
XRouter / XRPi,APRS / Packet,"KISS/BPQKISS TNC, sound modem, or YAM modem; no operating CAT","No transceiver CAT for QSOs. Same as XRouter: PORT directives in XROUTER.CFG map each radio port to a KISS TNC (device/host + baud), a sound modem, or YAM. No rig model.",n/a for hardware TNC; the sound modem selects its own device.,Keyed by the TNC/sound modem per AX.25 port (serial RTS or TNC).,"n/a — FM packet, no ALC.",KISS/AGW TNC or a soundmodem.,The Raspberry Pi build (XRPi) of G8PZT's XRouter; duplicate listing of the XRouter node software.,confirmed,XRPi / XRouter documentation (G8PZT),https://wiki.oarc.uk/packet:xrouter:docs:man7,Duplicate of the XRouter entry (same G8PZT software); confirmed identically.
