Kind,Item,Model,Field,Was,Corrected To,Note
radio,Genesis Radio,G59,data_bits,8,"8 (nominal, virtual COM)","Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,stop_bits,1,"1 (nominal, virtual COM)","Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,parity,None,"None (nominal, virtual COM)","Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,civ_address,n/a,n/a (not an Icom CI-V rig),"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,builtin_soundcard,Yes (built-in USB audio codec),No - USB is HID CONTROL only (VID 0xFFFE / PID 0x1970); I/Q audio requires an external/PC stereo sound card,"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,recommended_interface,None (single USB cable); add a virtual audio cable + virtual serial for external decoders/loggers,Quality SDR-capable external stereo sound card for I/Q (line-in/out) + USB (HID) for control - NOT a single USB cable,"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,Genesis Radio,G59,ptt_method,Software/PowerSDR PTT; DIGU/DIGL for data,Software (GSDR/PowerSDR) PTT; DIGU/DIGL for data,"Corrected. The claim said the G59 has a built-in USB audio codec and single-USB-cable operation. In fact the G59's USB is a HID CONTROL interface only (reverse-engineered: VID 0xFFFE, PID 0x1970, 64-byte HID control blocks); I/Q audio still goes through an external PC/USB sound card, exactly like the G40/G3020. It is a 'soundcard-based SDR' with no onboard audio codec."
radio,BG2* / Chinese (HF One),HF One MKII,cat_protocol,Yaesu CAT (FT-817 emulation),NOT UHSDR. Repacked JUMA TRX2A - RS-232 CAT with selectable Yaesu FT-897 emulation OR Kenwood TS-480 emulation (plus native JUMA-TRX2 protocol),"Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,BG2* / Chinese (HF One),HF One MKII,baud,Any (baud is ignored by UHSDR); set e.g. 38400 or 115200,"Real RS-232 serial, baud DOES matter - default 9600, selectable 1200-115200 (framing 8-N-1). It is NOT 'ignored'.","Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,BG2* / Chinese (HF One),HF One MKII,civ_address,n/a,n/a (not an Icom CI-V rig),"Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,BG2* / Chinese (HF One),HF One MKII,builtin_soundcard,Yes (USB Audio CODEC over the same USB port),No - no USB/USB-codec at all. RX I/Q is available on an output for SDR display (receive only); TX audio via the mic,"Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,BG2* / Chinese (HF One),HF One MKII,recommended_interface,None (single USB cable),"USB-to-RS232 (true-level) serial cable for CAT + an external PC stereo sound card on the I/Q output for RX SDR (no I/Q input, so no SDR TX); mic path for TX audio","Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,BG2* / Chinese (HF One),HF One MKII,ptt_method,CAT (FT-817 PTT command); CW key via DTR of the virtual COM port,"PTT via the Yaesu/Kenwood CAT TX command over the RS-232 link (a real RS-232 port, not a virtual COM)","Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
radio,JRC,JST-135 / JST-135D,cat_protocol,JRC (proprietary serial),JRC (proprietary MMI serial) via optional CMH-741 RS-232C interface unit,"Corrected. (1) Baud is 1200, not 4800 - the PC-ALE radio-control KB explicitly states 'For JST-135 1200 baud must be selected.' (2) The JST-135's RS-232C is NOT built in; it requires the optional JRC CMH-741 RS-232C interface unit (per the JST-135 service manual). Protocol is JRC's proprietary MMI ASCII command set."
radio,JRC,JST-135 / JST-135D,baud,4800,1200,"Corrected. (1) Baud is 1200, not 4800 - the PC-ALE radio-control KB explicitly states 'For JST-135 1200 baud must be selected.' (2) The JST-135's RS-232C is NOT built in; it requires the optional JRC CMH-741 RS-232C interface unit (per the JST-135 service manual). Protocol is JRC's proprietary MMI ASCII command set."
radio,JRC,JST-135 / JST-135D,recommended_interface,USB-serial/RS-232 for CAT; Digirig Mobile on ACC/mic (SignaLink alt.),Optional JRC CMH-741 RS-232C interface unit for CAT; Digirig Mobile on ACC/mic (SignaLink alt.) for audio,"Corrected. (1) Baud is 1200, not 4800 - the PC-ALE radio-control KB explicitly states 'For JST-135 1200 baud must be selected.' (2) The JST-135's RS-232C is NOT built in; it requires the optional JRC CMH-741 RS-232C interface unit (per the JST-135 service manual). Protocol is JRC's proprietary MMI ASCII command set."
radio,JRC,JST-135 / JST-135D,ptt_method,CAT or Digirig RTS/PTT via ACC,CAT (via CMH-741) or Digirig RTS/PTT via ACC,"Corrected. (1) Baud is 1200, not 4800 - the PC-ALE radio-control KB explicitly states 'For JST-135 1200 baud must be selected.' (2) The JST-135's RS-232C is NOT built in; it requires the optional JRC CMH-741 RS-232C interface unit (per the JST-135 service manual). Protocol is JRC's proprietary MMI ASCII command set."
radio,JRC,JST-135HP,cat_protocol,JRC (proprietary serial),JRC (proprietary MMI serial) via optional CMH-741 RS-232C interface unit,"Corrected to 1200 baud, same as the JST-135 (the JST-135HP is the high-power version sharing the same control hardware). CAT needs the optional CMH-741 RS-232C interface unit; JST-135 baud must be 1200 per the PC-ALE KB."
radio,JRC,JST-135HP,baud,4800,1200,"Corrected to 1200 baud, same as the JST-135 (the JST-135HP is the high-power version sharing the same control hardware). CAT needs the optional CMH-741 RS-232C interface unit; JST-135 baud must be 1200 per the PC-ALE KB."
radio,JRC,JST-135HP,recommended_interface,USB-serial/RS-232 for CAT; Digirig Mobile on ACC/mic (SignaLink alt.),Optional JRC CMH-741 RS-232C interface unit for CAT; Digirig Mobile on ACC/mic (SignaLink alt.) for audio,"Corrected to 1200 baud, same as the JST-135 (the JST-135HP is the high-power version sharing the same control hardware). CAT needs the optional CMH-741 RS-232C interface unit; JST-135 baud must be 1200 per the PC-ALE KB."
radio,JRC,JST-135HP,ptt_method,CAT or Digirig RTS/PTT via ACC,CAT (via CMH-741) or Digirig RTS/PTT via ACC,"Corrected to 1200 baud, same as the JST-135 (the JST-135HP is the high-power version sharing the same control hardware). CAT needs the optional CMH-741 RS-232C interface unit; JST-135 baud must be 1200 per the PC-ALE KB."
radio,JRC,NRD-525,cat_protocol,JRC (serial),JRC ASCII (NRD-525 command set),"BAUD CORRECTED: claimed 4800 is wrong. The CMH-532 RS-232C interface manual specifies RS-232C level, baud 300 or 1200 only, 8 data bits, no parity, 1 stop bit. Data/stop/parity confirmed. The NRD-525 has no built-in serial port — it needs the optional CMH-532 interface unit (25-pin)."
radio,JRC,NRD-525,baud,4800,1200 (selectable 300 or 1200),"BAUD CORRECTED: claimed 4800 is wrong. The CMH-532 RS-232C interface manual specifies RS-232C level, baud 300 or 1200 only, 8 data bits, no parity, 1 stop bit. Data/stop/parity confirmed. The NRD-525 has no built-in serial port — it needs the optional CMH-532 interface unit (25-pin)."
radio,JRC,NRD-525,recommended_interface,JRC RS-232 interface / USB-serial for control; Digirig/SignaLink on audio out,Optional JRC CMH-532 RS-232C Interface Unit (or third-party CBO-232 card) + USB-serial for control; PC sound card / SignaLink on AF out for decoding,"BAUD CORRECTED: claimed 4800 is wrong. The CMH-532 RS-232C interface manual specifies RS-232C level, baud 300 or 1200 only, 8 data bits, no parity, 1 stop bit. Data/stop/parity confirmed. The NRD-525 has no built-in serial port — it needs the optional CMH-532 interface unit (25-pin)."
radio,JRC,NRD-535,cat_protocol,JRC (serial),JRC ASCII (NRD-535 command set),"INTERFACE CORRECTED: 'CHE-199' is not a verifiable JRC accessory. The NRD-535 has a built-in rear RS-232C connector (DB25) running plain-ASCII control at 4800 baud, 8N1 (Hamlib nrd535 caps: rate 4800/4800, 8 data, 1 stop, no parity, no handshake). Baud and 8N1 confirmed."
radio,JRC,NRD-535,recommended_interface,CHE-199 (or USB-serial) for control; Digirig/SignaLink on audio out,"Built-in rear RS-232C port (DB25); use a serial or USB-serial control cable (e.g. TechnoFix) for CAT, plus a PC sound card / SignaLink on AF out for decoding","INTERFACE CORRECTED: 'CHE-199' is not a verifiable JRC accessory. The NRD-535 has a built-in rear RS-232C connector (DB25) running plain-ASCII control at 4800 baud, 8N1 (Hamlib nrd535 caps: rate 4800/4800, 8 data, 1 stop, no parity, no handshake). Baud and 8N1 confirmed."
radio,JRC,NRD-535D,cat_protocol,JRC (serial),JRC ASCII (NRD-535 command set),"INTERFACE CORRECTED: 'CHE-199' unverified. Identical serial to the NRD-535: built-in RS-232C (DB25), 4800 baud, plain-ASCII, 8N1 (Hamlib caps + owner docs). Baud/data/stop/parity confirmed."
radio,JRC,NRD-535D,recommended_interface,CHE-199 (or USB-serial) for control; Digirig/SignaLink on audio out,"Built-in rear RS-232C port (DB25); use a serial or USB-serial control cable (e.g. TechnoFix) for CAT, plus a PC sound card / SignaLink on AF out for decoding","INTERFACE CORRECTED: 'CHE-199' unverified. Identical serial to the NRD-535: built-in RS-232C (DB25), 4800 baud, plain-ASCII, 8N1 (Hamlib caps + owner docs). Baud/data/stop/parity confirmed."
radio,JRC,NRD-545 (NRD-545DSP),cat_protocol,JRC (serial),JRC ASCII (NRD-545 command set),"BAUD CLARIFIED + INTERFACE CORRECTED: claimed '4800 (up to 9600, verify)' — the manual and Hamlib both fix the port at 4800 only (1 start/8 data/no parity/1 stop); there is no 9600 option. 'CHE-199' is unverified; the NRD-545 has a built-in RS-232C port. 8N1 confirmed."
radio,JRC,NRD-545 (NRD-545DSP),baud,"4800 (up to 9600, verify)",4800,"BAUD CLARIFIED + INTERFACE CORRECTED: claimed '4800 (up to 9600, verify)' — the manual and Hamlib both fix the port at 4800 only (1 start/8 data/no parity/1 stop); there is no 9600 option. 'CHE-199' is unverified; the NRD-545 has a built-in RS-232C port. 8N1 confirmed."
radio,JRC,NRD-545 (NRD-545DSP),recommended_interface,CHE-199 (or USB-serial) for control; Digirig/SignaLink on audio out,"Built-in rear RS-232C port; use a serial or USB-serial control cable (e.g. TechnoFix) for CAT, plus a PC sound card / SignaLink on AF out for decoding","BAUD CLARIFIED + INTERFACE CORRECTED: claimed '4800 (up to 9600, verify)' — the manual and Hamlib both fix the port at 4800 only (1 start/8 data/no parity/1 stop); there is no 9600 option. 'CHE-199' is unverified; the NRD-545 has a built-in RS-232C port. 8N1 confirmed."
radio,Juma,TRX-2 / TRX-2A,cat_protocol,"Juma (serial, basic)",JUMA native serial; also selectable Yaesu-CAT emulation mode for logging/PC software,"BAUD CORRECTED: claimed '19200 (verify)' — the operating manual sets the RS-232 port default to 9600 baud, 8N1. CAT protocol note added: the TRX-2 serial port has two modes (native JUMA-TRX2 protocol for the PA100D amp, and a Yaesu-CAT emulation for PC logging). 8/1/None confirmed."
radio,Juma,TRX-2 / TRX-2A,baud,19200 (verify),9600 (default),"BAUD CORRECTED: claimed '19200 (verify)' — the operating manual sets the RS-232 port default to 9600 baud, 8N1. CAT protocol note added: the TRX-2 serial port has two modes (native JUMA-TRX2 protocol for the PA100D amp, and a Yaesu-CAT emulation for PC logging). 8/1/None confirmed."
radio,Juma,TRX-2 / TRX-2A,recommended_interface,USB-serial for remote/firmware; Digirig Mobile on audio + key jacks,USB-serial for CAT/firmware; external audio interface (Digirig Mobile or SignaLink) on the audio jacks for digital modes,"BAUD CORRECTED: claimed '19200 (verify)' — the operating manual sets the RS-232 port default to 9600 baud, 8N1. CAT protocol note added: the TRX-2 serial port has two modes (native JUMA-TRX2 protocol for the PA100D amp, and a Yaesu-CAT emulation for PC logging). 8/1/None confirmed."
radio,Juma,TRX-2 / TRX-2A,ptt_method,VOX or Digirig RTS/key line,"VOX, external-interface keying, or CAT PTT when in Yaesu-emulation mode","BAUD CORRECTED: claimed '19200 (verify)' — the operating manual sets the RS-232 port default to 9600 baud, 8N1. CAT protocol note added: the TRX-2 serial port has two modes (native JUMA-TRX2 protocol for the PA100D amp, and a Yaesu-CAT emulation for PC logging). 8/1/None confirmed."
radio,AOR,AR-DV1,cat_protocol,AOR ASCII (proprietary two-letter commands),"AOR ASCII (two-uppercase-letter commands, CR-terminated)","BAUD DETAIL CORRECTED: the official AR-DV1 command list specifies USB (micro-B, CP210x virtual COM), communication speed selectable by SB command = 115200 (default)/57600/38400/19200/9600 bps, stop bit 1, parity none (8 data). Claim's generic '9600/19200' understated the default (115200). 8/1/None confirmed."
radio,AOR,AR-DV1,baud,"USB virtual COM (RS-232 alt: 9600/19200, set to match)","USB virtual COM (Silabs CP210x): 115200 default, selectable 57600/38400/19200/9600 via SB command","BAUD DETAIL CORRECTED: the official AR-DV1 command list specifies USB (micro-B, CP210x virtual COM), communication speed selectable by SB command = 115200 (default)/57600/38400/19200/9600 bps, stop bit 1, parity none (8 data). Claim's generic '9600/19200' understated the default (115200). 8/1/None confirmed."
radio,AOR,AR-DV1,builtin_soundcard,No (take audio from phones/line out to a PC sound card for decoding),No (audio to a PC sound card via AF/line out for decoding),"BAUD DETAIL CORRECTED: the official AR-DV1 command list specifies USB (micro-B, CP210x virtual COM), communication speed selectable by SB command = 115200 (default)/57600/38400/19200/9600 bps, stop bit 1, parity none (8 data). Claim's generic '9600/19200' understated the default (115200). 8/1/None confirmed."
radio,AOR,AR-DV1,recommended_interface,"None for control (direct USB). For decoding, feed AF out to a PC sound card","None for control (direct micro-USB, a data-capable cable); PC sound card for audio decoding","BAUD DETAIL CORRECTED: the official AR-DV1 command list specifies USB (micro-B, CP210x virtual COM), communication speed selectable by SB command = 115200 (default)/57600/38400/19200/9600 bps, stop bit 1, parity none (8 data). Claim's generic '9600/19200' understated the default (115200). 8/1/None confirmed."
radio,AOR,AR-ONE (AR5000 pro),cat_protocol,AOR ASCII (proprietary),AOR ASCII (two-letter command set),"STOP BITS + BAUD CORRECTED: the AR-ONE operating manual specifies Baud 9600/19200(default)/38400, Data 8, Stop 2, Parity None. Claimed '1' stop bit is wrong (it is 2), and the claimed '4800/9600/19200' is wrong (no 4800; adds 38400, default 19200). Note: the two RS-232C ports use an AOR Remote-ID address (1-99), which is not a CI-V/Icom address."
radio,AOR,AR-ONE (AR5000 pro),baud,4800/9600/19200 (selectable — set to match software),"9600, 19200 (default) or 38400","STOP BITS + BAUD CORRECTED: the AR-ONE operating manual specifies Baud 9600/19200(default)/38400, Data 8, Stop 2, Parity None. Claimed '1' stop bit is wrong (it is 2), and the claimed '4800/9600/19200' is wrong (no 4800; adds 38400, default 19200). Note: the two RS-232C ports use an AOR Remote-ID address (1-99), which is not a CI-V/Icom address."
radio,AOR,AR-ONE (AR5000 pro),stop_bits,1,2,"STOP BITS + BAUD CORRECTED: the AR-ONE operating manual specifies Baud 9600/19200(default)/38400, Data 8, Stop 2, Parity None. Claimed '1' stop bit is wrong (it is 2), and the claimed '4800/9600/19200' is wrong (no 4800; adds 38400, default 19200). Note: the two RS-232C ports use an AOR Remote-ID address (1-99), which is not a CI-V/Icom address."
radio,AOR,AR-ONE (AR5000 pro),civ_address,n/a,"n/a (uses an AOR Remote-ID 1-99, not Icom CI-V)","STOP BITS + BAUD CORRECTED: the AR-ONE operating manual specifies Baud 9600/19200(default)/38400, Data 8, Stop 2, Parity None. Claimed '1' stop bit is wrong (it is 2), and the claimed '4800/9600/19200' is wrong (no 4800; adds 38400, default 19200). Note: the two RS-232C ports use an AOR Remote-ID address (1-99), which is not a CI-V/Icom address."
radio,AOR,AR-ONE (AR5000 pro),recommended_interface,USB-to-RS-232 (FTDI) for control; PC sound card / interface for audio decoding,USB-to-RS-232 (FTDI) to the built-in RS-232C port(s) for control; PC sound card / interface for audio decoding,"STOP BITS + BAUD CORRECTED: the AR-ONE operating manual specifies Baud 9600/19200(default)/38400, Data 8, Stop 2, Parity None. Claimed '1' stop bit is wrong (it is 2), and the claimed '4800/9600/19200' is wrong (no 4800; adds 38400, default 19200). Note: the two RS-232C ports use an AOR Remote-ID address (1-99), which is not a CI-V/Icom address."
radio,AOR,AR2300,cat_protocol,AOR ASCII (proprietary),AOR ASCII command set (USB / RS-232C / optional LAN),"SOUNDCARD CLAIM CORRECTED/CLARIFIED: the base AR2300 'black box' controls over USB/RS-232C/LAN but is not itself a standard USB audio codec. I/Q (and thus PC audio/SDR use) requires the OPTIONAL digital I/Q output board (USB 2.0, AR-IQ software). So 'Yes — USB I/Q/audio (SDR)' is only true with that add-on board."
radio,AOR,AR2300,baud,USB virtual COM (RS-232 alt: set to match),USB virtual COM primary (RS-232C alt); AOR ASCII command list,"SOUNDCARD CLAIM CORRECTED/CLARIFIED: the base AR2300 'black box' controls over USB/RS-232C/LAN but is not itself a standard USB audio codec. I/Q (and thus PC audio/SDR use) requires the OPTIONAL digital I/Q output board (USB 2.0, AR-IQ software). So 'Yes — USB I/Q/audio (SDR)' is only true with that add-on board."
radio,AOR,AR2300,builtin_soundcard,Yes — USB I/Q / audio streaming (SDR) with the AOR software,Partial — base USB/RS-232C is control-only (not a standard USB audio codec); the OPTIONAL digital I/Q output board streams 12 kHz I/Q over USB 2.0 with AR-IQ software,"SOUNDCARD CLAIM CORRECTED/CLARIFIED: the base AR2300 'black box' controls over USB/RS-232C/LAN but is not itself a standard USB audio codec. I/Q (and thus PC audio/SDR use) requires the OPTIONAL digital I/Q output board (USB 2.0, AR-IQ software). So 'Yes — USB I/Q/audio (SDR)' is only true with that add-on board."
radio,AOR,AR2300,recommended_interface,None (direct USB) — IQ/audio and control over USB,"None for control (direct USB); add the optional digital I/Q board for I/Q-over-USB, or take AF out to a PC sound card for audio decoding","SOUNDCARD CLAIM CORRECTED/CLARIFIED: the base AR2300 'black box' controls over USB/RS-232C/LAN but is not itself a standard USB audio codec. I/Q (and thus PC audio/SDR use) requires the OPTIONAL digital I/Q output board (USB 2.0, AR-IQ software). So 'Yes — USB I/Q/audio (SDR)' is only true with that add-on board."
radio,AOR,AR2700,cat_protocol,"AOR ASCII (proprietary, via optional lead)",AOR ASCII command set (via optional AOR CU-8232 RS-232 unit),"STOP BITS CORRECTED + INTERFACE NAMED: the CU-8232 RS-232 unit manual (for AR8000/AR2700) specifies Baud 2400/4800/9600 selectable, Stop bit 2 BIT, Parity None (8 data). Claimed '1' stop bit is wrong — it is 2. The correct control interface is the AOR CU-8232 unit (not a generic clone lead)."
radio,AOR,AR2700,baud,set to match software,2400 / 4800 / 9600 (selectable),"STOP BITS CORRECTED + INTERFACE NAMED: the CU-8232 RS-232 unit manual (for AR8000/AR2700) specifies Baud 2400/4800/9600 selectable, Stop bit 2 BIT, Parity None (8 data). Claimed '1' stop bit is wrong — it is 2. The correct control interface is the AOR CU-8232 unit (not a generic clone lead)."
radio,AOR,AR2700,stop_bits,1,2,"STOP BITS CORRECTED + INTERFACE NAMED: the CU-8232 RS-232 unit manual (for AR8000/AR2700) specifies Baud 2400/4800/9600 selectable, Stop bit 2 BIT, Parity None (8 data). Claimed '1' stop bit is wrong — it is 2. The correct control interface is the AOR CU-8232 unit (not a generic clone lead)."
