Manufacturer,Model,Type,Bands,Modes,Era,Notes
Alinco,DJ-180 / DJ-180T,VHF handheld,2m,FM,early 1990s,2m FM HT.
Alinco,DJ-190 / DJ-190T,VHF handheld,2m,FM,mid 1990s,"Rugged 2m FM HT, long battery life."
Alinco,DJ-191 / DJ-191T,VHF handheld,2m,FM,mid 1990s,2m FM HT.
Alinco,DJ-193 / DJ-193T,VHF handheld,2m,FM,late 1990s,2m FM HT.
Alinco,DJ-195 / DJ-195T,VHF handheld,2m,FM,1998,"5W 2m FM HT, alphanumeric display."
Alinco,DJ-196 / DJ-196T,VHF handheld,2m,FM,late 1990s,2m FM HT.
Alinco,DJ-200 / DJ-280 / DJ-296,VHF handheld,2m,FM,1990s,Series of 2m FM HTs.
Alinco,DJ-460 / DJ-460T,UHF handheld,70cm,FM,early 1990s,70cm FM HT (pairs with DJ-160).
Alinco,DJ-480 / DJ-480T,UHF handheld,70cm,FM,early 1990s,70cm FM HT.
Alinco,DJ-500 / DJ-500T,VHF/UHF handheld,2m/70cm,FM,2016,5W dual-band HT with front-firing speaker and CTCSS/DCS scan.
Alinco,DJ-560 / DJ-560T,VHF/UHF handheld,2m/70cm,FM,1990,Early dual-band HT.
Alinco,DJ-562 (DJ-562SX),VHF/UHF handheld,2m/70cm,FM,early 1990s,Dual-band FM HT.
Alinco,DJ-580 / DJ-580T,VHF/UHF handheld,2m/70cm,FM,1991,Classic full-duplex dual-band HT with dual receive.
Alinco,DJ-593 / DJ-593T,VHF/UHF handheld,2m/70cm,FM,2000s,"Full-duplex dual-band HT, wide RX."
Alinco,DJ-596 / DJ-596T,VHF/UHF handheld,2m/70cm,FM,2000s,5W dual-band HT.
Alinco,DJ-C1 / DJ-C1T,VHF micro handheld,2m,FM,1990s,Credit-card-thin 2m FM HT.
Alinco,DJ-C4 / DJ-C4T,UHF micro handheld,70cm,FM,1990s,Ultra-thin 70cm FM HT.
Alinco,DJ-C5 / DJ-C5T,VHF/UHF micro handheld,2m/70cm,FM,1990s,Card-size dual-band TX HT with wide RX.
Alinco,DJ-C6 / DJ-C6T,UHF micro handheld,70cm,FM,1990s,Card-size 70cm FM HT.
Alinco,DJ-C7 / DJ-C7T,VHF/UHF micro handheld,2m/70cm,FM,2000s,One of the world's smallest dual-band HTs; wide-band RX.
Alinco,DJ-G1 / DJ-F1,VHF handheld,2m,FM,1990s,2m FM HT (DJ-F4 is 70cm sibling).
Alinco,DJ-G29 / DJ-G29T,VHF/UHF dual-band handheld,1.25m (220 MHz) / 33cm (900 MHz),FM,2013,Rare dual bander covering both 220 and 900 MHz ham bands.
Alinco,DJ-G5 / DJ-G5T,VHF/UHF handheld,2m/70cm,FM,1997,Full-duplex dual-band HT with dual receive.
Alinco,DJ-G7 / DJ-G7T / DJ-G7E,VHF/UHF/microwave triband handheld,2m/70cm/23cm,FM (wide multimode RX incl. SSB/AM/WFM),2009,"Only mass-market HT covering 1.2 GHz (23cm); full duplex, 0.5-1300 MHz RX."
Alinco,DJ-MD5 / DJ-MD5T / DJ-MD5TGP,DMR dual-band handheld,2m/70cm,DMR (Tier I/II) / FM,2017,Color-display dual-band DMR HT; GP versions add GPS.
Alinco,DJ-MD5XLT,DMR dual-band handheld,2m/70cm,DMR / FM,2020,"Third-gen DMR HT with GPS, Part 90; APRS-over-DMR."
Alinco,DJ-S1 / DJ-S4,VHF / UHF handheld,2m / 70cm,FM,1990s,"Compact single-band FM HTs (S1=2m, S4=70cm)."
Alinco,DJ-S11 / DJ-S11T,VHF QRP handheld,2m,FM,1990s,Slim mono-band 2m QRP (~340mW/upgradable) FM HT.
Alinco,DJ-S12 / DJ-S17 / DJ-S42 / DJ-S47,VHF/UHF QRP handheld,2m or 70cm,FM,1990s-2000s,Low-power slim mono-band FM HTs (various markets).
Alinco,DJ-S41 / DJ-S41T,UHF QRP handheld,70cm,FM,1990s,Slim 70cm QRP FM HT.
Alinco,DJ-S45 / DJ-S45T,UHF handheld,70cm,FM,1990s,70cm FM HT.
Alinco,DJ-V17 / DJ-V17T,VHF handheld,2m,FM,2000s,Waterproof (IP54) 5W 2m FM HT.
Alinco,DJ-V27 / DJ-V27T,1.25m handheld,222 MHz (1.25m),FM,2000s,"Single-band 222 MHz FM HT, rare band handheld."
Alinco,DJ-V47 / DJ-V47T,UHF handheld,70cm,FM,2000s,Waterproof 70cm FM HT.
Alinco,DJ-V5 / DJ-V5T,VHF/UHF handheld,2m/70cm,FM,2000,Compact dual-band HT with dual receive.
Alinco,DJ-V57 / DJ-V57T,VHF/UHF handheld,2m/70cm,FM,2000s,Dual-band FM HT.
Alinco,DJ-VX11,VHF/UHF handheld,2m/70cm,FM,2010s,Compact dual-band FM HT.
Alinco,DJ-VX50 / DJ-VX50T,VHF/UHF handheld,2m/70cm,FM,2021,IP67 waterproof 5W dual-band FM HT.
Alinco,DJ-X1 / DJ-X01,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,1994,Early wideband RX-only scanner used by hams for monitoring.
Alinco,DJ-X10,Wideband handheld receiver,0.1-2000 MHz,AM/FM/WFM/SSB/CW,1997,Full-featured wideband RX with spectrum display.
Alinco,DJ-X100 / DJ-X100T / DJ-X100E,Digital wideband handheld receiver,0.03-470 MHz,AM/FM/WFM + C4FM/D-STAR/DMR/NXDN/DCR,2022,Digital-voice-capable wideband monitor RX with waterfall.
Alinco,DJ-X11 / DJ-X11T / DJ-X11E,Wideband handheld receiver,0.05-1300 MHz,AM/FM/WFM/SSB/CW (+ dual RX),2010,Dual-watch wideband RX with all-mode HF/VHF/UHF coverage.
Alinco,DJ-X20,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,2000s,Wideband RX with logging/recorder features.
Alinco,DJ-X2000,Wideband handheld receiver,0.1-2150 MHz,AM/FM/WFM/SSB/CW,2000,Flagship 'intelligent' wideband RX with field-strength/CTCSS analysis.
Alinco,DJ-X3 / DJ-X3E / DJ-X3S,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,2000s,Compact wideband RX.
Alinco,DJ-X30 / DJ-X30E / DJ-X30T,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,2010s,Rugged wideband RX.
Alinco,DJ-X5,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,late 1990s,Wideband RX-only.
Alinco,DJ-X7,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,2000s,Very small/light wideband RX.
Alinco,DJ-X8,Wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM/SSB/CW,2000s,Wideband RX with SSB/CW.
Alinco,DJ-X81 / DJ-X82,Compact receiver,LW/MW/SW + FM/air/VHF,AM/FM,2010s,Pocket AM/FM/SW/airband RX.
Alinco,DR-03T / DR-M03,10m FM mobile,10m (29 MHz),FM,2000s,Single-band 29 MHz FM mobile; 10W.
Alinco,DR-06T / DR-M06 / DR-M06T,6m FM mobile,6m,FM,2000s,Single-band 50MHz FM mobile; 10W.
Alinco,DR-110 / DR-110T,VHF FM mobile,2m,FM,1989,Early 45W 2m mobile.
Alinco,DR-112 / DR-112T,VHF FM mobile,2m,FM,early 1990s,Compact 2m FM mobile.
Alinco,DR-120HX / DR-420HX,VHF / UHF FM mobile,2m / 70cm,FM,2010s,High-power export single-band mobiles.
Alinco,DR-130 / DR-130T,VHF FM mobile,2m,FM,1994,Popular 50W 2m mobile; large display.
Alinco,DR-135 / DR-135T (MkII),VHF FM mobile,2m,FM (packet-ready),1996,Built-in 1200/9600-baud packet jack; long-running data-capable 2m mobile.
Alinco,DR-135T MkIII / DR-135E MkIII,VHF FM mobile,2m,FM (packet-ready),2008,Current third-generation DR-135; also sold as DR-135DB with data board.
Alinco,DR-140 / DR-140T,VHF FM mobile,2m,FM,1996,"2m FM mobile, 50W."
Alinco,DR-150 / DR-150T,VHF FM mobile,2m (+ wide RX),FM (RX AM airband/WFM),1995,2m mobile with extended wideband receive coverage.
Alinco,DR-235 / DR-235T (MkIII),1.25m FM mobile,222 MHz (1.25m),FM,1996,One of few 222 MHz mobiles; packet-capable; MkIII current.
Alinco,DR-410 / DR-430,UHF FM mobile,70cm,FM,early 1990s,Single-band 70cm FM mobiles.
Alinco,DR-435 / DR-435T (MkIII),UHF FM mobile,70cm,FM (packet-ready),1996,70cm counterpart to DR-135; MkIII current.
Alinco,DR-510 / DR-510T,VHF/UHF dual-band mobile,2m/70cm,FM,early 1990s,Early full-duplex dual-band mobile.
Alinco,DR-570 / DR-570T,VHF/UHF dual-band mobile,2m/70cm,FM,1992,Full-duplex dual bander.
Alinco,DR-590 / DR-590T,VHF/UHF dual-band mobile,2m/70cm,FM,1993,Dual-receive full-duplex mobile.
Alinco,DR-592 / DR-592T / DR-592HX,VHF/UHF dual-band mobile,2m/70cm,FM,2010s,Cross-band repeat capable; HX is high-power export variant.
Alinco,DR-599 / DR-599T,VHF/UHF dual-band mobile,2m/70cm,FM,1995,"Full-duplex, separate main/sub encoders."
Alinco,DR-600 / DR-600T,VHF/UHF dual-band mobile,2m/70cm,FM,1990s,Dual-band FM mobile.
Alinco,DR-605 / DR-605T,VHF/UHF dual-band mobile,2m/70cm,FM (packet),1990s,Data/packet-capable dual bander.
Alinco,DR-610 / DR-610T,VHF/UHF dual-band mobile,2m/70cm,FM,1990s,"Dual-receive, cross-band repeat."
Alinco,DR-620 / DR-620T / DR-620D,VHF/UHF dual-band mobile,2m/70cm,FM,2000s,"Compact dual bander, remotable head."
Alinco,DR-635 / DR-635T / DR-635E,VHF/UHF dual-band mobile,2m/70cm,FM (packet),2004,"Full-duplex, cross-band repeat, wide RX incl. airband; built-in packet TNC jack."
Alinco,DR-638 / DR-638H,VHF/UHF dual-band mobile,2m/70cm,FM,2010s,Budget dual-band mobile with dual display; export high-power H variant.
Alinco,DR-735 / DR-735T / DR-735E,VHF/UHF dual-band mobile,2m/70cm,FM,2014,"Current dual bander; full-duplex, cross-band repeat, DTMF paging, wide RX."
Alinco,DR-B185 (DR-B185HT/HE),VHF FM mobile,2m,FM,2010s,"Simple commercial/ham 2m mobile, front-firing speaker."
Alinco,DR-M10H / DR-M40H / DR-M50H,VHF/UHF FM mobile,2m or 70cm,FM,2000s,Commercial-style single-band mobiles usable on ham bands.
Alinco,DR-MD500 (DR-MD500T),DMR/analog dual-band mobile,2m/70cm,DMR / FM,2019,Tier I/II DMR mobile with color display and GPS option.
Alinco,DX-70 / DX-70T,HF/6m transceiver,HF 160-10m + 6m,SSB/CW/AM/FM,1996,"Alinco's first HF rig; compact mobile with detachable front panel; 100W HF, 10W on 6m on early T version."
Alinco,DX-701,HF/6m base transceiver,HF 160-10m + 6m,SSB/CW/AM/FM,2019,Newer flagship with color TFT display; 100W; detachable head.
Alinco,DX-70TH / DX-70EH,HF/6m transceiver,HF 160-10m + 6m,SSB/CW/AM/FM,1996,"High-power version: full 100W on 6m as well as HF; TH=US, EH=Europe."
Alinco,DX-77 / DX-77T,HF base transceiver,HF 160-10m,SSB/CW/AM/FM,1999,100W desktop HF; built-in electronic keyer and speech compressor; no 6m.
Alinco,DX-R8 (DX-R8T / DX-R8E),HF communications receiver,0.135-35 MHz,SSB/CW/AM/FM,2009,Receive-only sibling of the DX-SR8; general-coverage tabletop RX with I/Q output.
Alinco,DX-SR8 / DX-SR8T / DX-SR8E,HF transceiver,HF 160-10m,SSB/CW/AM/FM,2008,"100W with detachable/remotable front panel; PC-remote capable, popular SDR-conversion base."
Alinco,DX-SR9 / DX-SR9T,HF SDR transceiver,HF 160-10m,SSB/CW/AM/FM + I/Q SDR,2010,DX-SR8 with 36 kHz I/Q output for PC-based SDR panadapter/decoding; 100W.
Ameco (American Electronics),AC-1,HF transmitter (kit),80/40m,CW,1956,"Iconic 6V6 novice CW starter kit, ~5-7W; sold 1956-1970."
Ameco (American Electronics),TX-62,VHF transmitter,6m/2m,AM/CW,1960s,75W crystal-controlled 2-and-6-meter transmitter with built-in modulator/PSU.
Analog Devices,ADALM-PLUTO (PlutoSDR),SDR transceiver,325 MHz-3.8 GHz (hacked 70 MHz-6 GHz),all-mode,2017,Ubiquitous for QO-100 (Es'hail-2) satellite uplink/downlink and microwave amateur work.
Anytone,Apollo I,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM/PA,2010s,All-mode 10m amateur/export mobile.
Anytone,Apollo II,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM/PA,2010s,Updated Apollo all-mode 10m mobile.
Anytone,ARES II,"HF 10m transceiver (mobile, export)",10m / export,SSB/CW/AM/FM,2020s,All-mode (CW/AM/FM/USB/LSB) 10m mobile; note export origin.
Anytone,AT-5000,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM,2010s,30W SSB/AM/FM 10m mobile with noise reduction (NRC).
Anytone,AT-5289,"HF 10m transceiver (mobile, export)",10m / export,AM/FM,2010s,AM/FM 10m mobile with noise reduction.
Anytone,AT-5289 II,"HF 10m transceiver (mobile, export)",10m / export,AM/FM,2020s,60W AM PEP / 45W FM with noise reduction; updated 5289.
Anytone,AT-5555,"HF 10m transceiver (mobile, export)",10m (28-29.7 / export 25.6-30.1),SSB/AM/FM/PA,2010s,"Multimode 10m mobile; amateur 28 MHz use, note export origin."
Anytone,AT-5555 Plus,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM/PA,2010s,"Enhanced AT-5555 variant, multimode 10m mobile."
Anytone,AT-5555N,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM/PA,2010s,'N' revision of AT-5555 with CTCSS/DCS; multimode 10m mobile.
Anytone,AT-5555N II,"HF 10m transceiver (mobile, export)",10m (25.615-30.105),SSB/AM/FM/PA,2020s,"Upgraded 60W AM PEP / 50W FM / 60W SSB PEP with RX/TX noise reduction, CTCSS/DCS."
Anytone,AT-6666,"HF 10m transceiver (mobile, export)",10m (28-29.7 / export 25.615-30.105),SSB/AM/FM/PA,2018,"Popular 60W multimode 10m mobile; large display, frequency counter. Export origin."
Anytone,AT-6666 PRO,"HF 10m transceiver (mobile, export)",10m / export,SSB/AM/FM/PA,2020s,"80W (AM PEP/SSB PEP), 50W FM high-power version of the AT-6666."
Anytone (Qixiang),AT-3208,UHF handheld,70cm,FM,2010s,Single-band commercial/ham FM HT.
Anytone (Qixiang),AT-3208 Plus,UHF handheld,70cm,FM,2010s,Updated AT-3208.
Anytone (Qixiang),AT-3318UV,VHF/UHF handheld,2m/70cm,FM,2010s,Dual-band FM HT.
Anytone (Qixiang),AT-5189,VHF Low-band mobile,4m (66-88 MHz),FM,2010s,Low-band FM mobile.
Anytone (Qixiang),AT-588,VHF/UHF mobile,"single-band (2m, 70cm, 4m or 1.25m options)",FM,2010,"60-70W monoband FM mobile, multiple band versions."
Anytone (Qixiang),AT-5888UV,VHF/UHF mobile,2m/70cm,FM,2014,"Dual-band cross-band mobile, dual receive."
Anytone (Qixiang),AT-5888UV III,VHF/UHF mobile,2m/1.25m/70cm,FM,2014,Tri-band version of AT-5888UV.
Anytone (Qixiang),AT-778UV,VHF/UHF mobile,2m/70cm,FM,2017,Compact 25W dual-band FM mobile (also sold rebadged widely).
Anytone (Qixiang),AT-779UV,VHF/UHF mobile,2m/70cm,FM,2019,"Mini dual-band FM mobile, USB programming."
Anytone (Qixiang),AT-D168UV,DMR handheld,2m/70cm,DMR/FM,2024,Newer compact dual-band DMR HT.
Anytone (Qixiang),AT-D258UV,DMR handheld,2m/70cm,DMR/FM,2020s,Dual-band DMR HT variant.
Anytone (Qixiang),AT-D578UV,DMR mobile,2m/70cm,DMR/FM,2019,"Dual-band DMR mobile, 2.4in color LCD, GPS."
Anytone (Qixiang),AT-D578UV III Plus,DMR mobile,2m/1.25m/70cm,DMR/FM,2021,Tri-band DMR mobile.
Anytone (Qixiang),AT-D578UV Plus,DMR mobile,2m/70cm,DMR/FM,2020,Adds Bluetooth/APRS to D578.
Anytone (Qixiang),AT-D578UV Pro,DMR mobile,2m/70cm,DMR/FM,2021,Pro version with GPS/Bluetooth/APRS.
Anytone (Qixiang),AT-D868UV,DMR handheld,2m/70cm,DMR (Tier I/II)/FM,2017,Breakthrough affordable dual-band DMR HT with GPS.
Anytone (Qixiang),AT-D878UV,DMR handheld,2m/70cm,DMR/FM,2018,"Color TFT, GPS, DMR roaming, faster CPU vs 868."
Anytone (Qixiang),AT-D878UV Plus,DMR handheld,2m/70cm,DMR/FM,2019,"Adds Bluetooth, APRS, larger memory."
Anytone (Qixiang),AT-D878UVII Plus,DMR handheld,2m/70cm,DMR/FM,2020,"500k contacts, digital APRS, enhanced roaming."
Anytone (Qixiang),AT-D890UV,DMR handheld,2m/70cm,DMR/NXDN/FM,2025,Adds NXDN digital alongside DMR.
Anytone (Qixiang),NSTIG-8R,VHF/UHF handheld,2m/70cm,FM,2015,Compact BridgeCom-branded Anytone HT.
Anytone (Qixiang),OBLTR-8R,VHF/UHF handheld,2m/70cm,FM,2015,BridgeCom-branded Anytone analog HT.
Anytone (Qixiang),TERMN-8R,VHF/UHF handheld,2m/70cm + air/marine RX,FM/AM RX,2015,"BridgeCom-branded Anytone; air-band, cross-band repeat."
AOR,AR-240,VHF handheld transceiver,2m,FM,early 1980s,"Early AOR 2m FM HT, ~1.5W."
AOR,AR-280,VHF handheld transceiver,2m,FM,early 1980s,5W 2m FM HT.
AOR,AR-740A,UHF handheld transceiver,70cm,FM,early 1980s,"70cm FM HT, ~1.5W; a rare AOR ham transmitter."
AOR,AR-DV1,Digital-voice wideband receiver,0.1-1300 MHz,Analog + DMR/dPMR/NXDN/D-STAR/P25/TETRA/C4FM,2015,First affordable all-digital-format monitoring RX.
AOR,AR-DV10,Digital-voice handheld receiver,0.1-1300 MHz,Analog + DMR/dPMR/NXDN/D-STAR/P25/TETRA/C4FM,2017,Handheld sibling of AR-DV1.
AOR,AR-DV3,Digital-voice wideband receiver,0.1-3000 MHz,Analog + DMR/dPMR/NXDN/D-STAR/P25/TETRA/C4FM,2021,"Extended-coverage successor to AR-DV1, optional Cospas-Sarsat decode."
AOR,AR-Mini,Compact wideband handheld receiver,0.1-1300 MHz,AM/FM/WFM,2013,Very small 1000-channel monitoring RX.
AOR,AR-ONE (AR5000 pro),Wideband base receiver,0.01-3300 MHz,AM/FM/WFM/SSB/CW,2003,"Professional monitoring RX, 0.1 ppm reference, remote-network capable."
AOR,AR1000 / AR1000XLT,Wideband handheld receiver,0.5-1300 MHz,AM/FM/WFM,1991,1000-channel handheld wideband scanner.
AOR,AR1500 / AR1500E,Wideband handheld receiver,0.5-1300 MHz,AM/FM/WFM/SSB,1992,AR1000-class handheld adding SSB (BFO).
AOR,AR2001 / AR2002,Wideband base receiver,25-550 / 25-1300 MHz,AM/FM,1984,Early continuous-coverage base scanners used by hams for monitoring.
AOR,AR2300,SDR base receiver,0.04-3150 MHz,AM/FM/WFM/SSB/CW + I/Q,2010,'Black-box' PC-controlled SDR RX with I/Q output and analog TV.
AOR,AR2500,Wideband base receiver,1-1500 MHz,AM/FM/WFM,1987,Computer-controllable wideband monitoring RX.
AOR,AR2515,Wideband base receiver,1-1500 MHz,AM/FM (opt. SSB),1989,AR2500-class base RX with optional SSB board.
AOR,AR2700,Wideband handheld receiver,0.5-1300 MHz,AM/FM/WFM,1996,Compact 500-channel handheld wideband RX.
AOR,AR3000 / AR3000A,Wideband base receiver,0.1-2036 MHz,AM/FM/WFM/SSB/CW,1989 / 1991,All-mode continuous-coverage tabletop; long-time reference wideband RX.
AOR,AR3030,HF communications receiver,0.03-30 MHz,AM/SSB/CW/FM/sync,1996,Tabletop HF general-coverage RX with Collins mechanical-filter options; popular ham shortwave RX.
AOR,AR5000,Wideband base receiver,0.01-2600 MHz,AM/FM/WFM/SSB/CW,1997,High-performance all-mode wideband professional/ham RX.
AOR,AR5000A / AR5000A+3,Wideband base receiver,0.01-3000 MHz,AM/FM/WFM/SSB/CW,1998,"Updated AR5000 to 3 GHz; +3 adds AFC, noise blanker and synchronous AM."
AOR,AR5001D,SDR base receiver,0.04-3150 MHz,AM/FM/WFM/SSB/CW (opt. P25),2011,Standalone/PC SDR RX with triple-VFO and SD recording.
AOR,AR5700D,SDR digital wideband receiver,0.009-3700 MHz,Analog + DMR/NXDN/dPMR/D-STAR/P25/TETRA,2017,Professional SDR monitoring RX with digital-voice decode and I/Q.
AOR,AR6000,SDR wideband base receiver,0.009-6000 MHz,AM/FM/WFM/SSB/CW,2018,Flagship 9 kHz-6 GHz DSP receiver with SD recorder.
AOR,AR7030,HF communications receiver,0-32 MHz,AM/SSB/CW/sync,1996,Highly regarded HF DX receiver designed by John Thorpe; menu/remote control.
AOR,AR7030 Plus,HF communications receiver,0-32 MHz,AM/SSB/CW/sync,1998,"Enhanced AR7030 with more memories, better filtering and NB."
AOR,AR8000,Wideband handheld receiver,0.5-1900 MHz,AM/FM/WFM/SSB/CW,1994,All-mode handheld wideband RX with alphanumeric display.
AOR,AR8200,Wideband handheld receiver,0.53-2040 MHz,AM/FM/WFM/SSB/CW,1998,All-mode handheld with slot cards; enthusiast/ham favorite.
AOR,AR8200 Mark II / Mark IIB,Wideband handheld receiver,0.53-2040 MHz,AM/FM/WFM/SSB/CW,2000,Revised AR8200 with improved dynamic range.
AOR,AR8200 Mark III,Wideband handheld receiver,0.1-3000 MHz,AM/FM/WFM/SSB/CW,2005,"Final AR8200 revision, extended coverage."
AOR,AR8600 / AR8600 Mark II,Wideband base/mobile receiver,0.1-3000 MHz,AM/FM/WFM/SSB/CW,2000,Tabletop version of AR8200 with slot cards; Mk2 improves front end.
AOR,AR900 / AR950 / AR2800,Wideband scanner receiver,VHF/UHF (to ~1300 MHz),AM/FM,1980s-90s,Base/mobile multiband monitoring scanners used by hams.
AOR,SR2200,Professional monitoring receiver,25-3000 MHz,AM/FM/WFM,2010s,PC-controlled 'black-box' surveillance/monitoring RX with fast spectrum display.
Apache Labs,ANAN-10,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2012,"Original OpenHPSDR/Hermes-based direct-sampling SDR, ~10W, PC-controlled (PowerSDR/Thetis). Entry model of the ANAN line."
Apache Labs,ANAN-100,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2013,"100W direct-sampling SDR on Hermes/Angelia board, LTC2208 16-bit-class ADC; PowerSDR/Thetis host."
Apache Labs,ANAN-100D,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2013,"100W dual-ADC 'diversity' flagship (Angelia FPGA, 115k logic elements); jumper-configured. Supports polarization diversity RX."
Apache Labs,ANAN-10E,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2015,"Economy Hermes-board version with PureSignal adaptive pre-distortion; ~15-20W HF / 8-10W 6m, dual independent RX."
Apache Labs,ANAN-200D,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2015,"100W jumperless Orion-board successor to 100D; EP4CGX150 FPGA (150k LE), internal PA coupler, dual ADC diversity."
Apache Labs,ANAN-7000DLE,HF+6m SDR transceiver (standalone/PC),HF 160-10m + 6m,SSB/CW/AM/FM/digital,2017,"100W monoblock with front-panel 7"" touchscreen, ADC2 pure-signal feedback, dual ADC. Runs Thetis; later Andromeda front panel."
Apache Labs,ANAN-7000DLE mkII,HF+6m SDR transceiver (embedded PC option),HF 160-10m + 6m,SSB/CW/AM/FM/digital,2019,100W; optional embedded Intel 8th-gen i5/i7 + Windows 10 for standalone FT8 etc. 'Andromeda' touch front panel; Black Edition sold.
Apache Labs,ANAN-8000DLE,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2016,"200W flagship with redesigned transmit chain preserving PureSignal; dual 16-bit ADC, top of the Orion-generation line."
Apache Labs,ANAN-G2,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2021,"Gen-2 SDR: large FPGA (930 GMAC/s) + quad-core SoC, 100W, dual 16-bit phase-synchronous ADC (9kHz-60MHz). No-screen and display versions."
Apache Labs,ANAN-G2 Ultra,HF+6m SDR transceiver (standalone),HF 160-10m + 6m,SSB/CW/AM/FM/digital,2022,"100W G2 with upgraded 8-inch high-res touchscreen, dual 4K HDMI out, Gigabit Ethernet, USB, knobs for traditional-radio feel."
Apache Labs,ANAN-G2-1K,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2023,1000W PEP (SSB/CW) built-in-PA G2; IMD3 ~-72dB @1kW on 20m. Flagship high-power SDR.
Atlas,Atlas 180,HF transceiver,80-10 m (no WARC),SSB/CW,1974,Early all-solid-state no-tune transceiver by Herb Johnson.
Atlas,Atlas 180M,HF transceiver,80-10 m,SSB/CW,1974,Mobile-oriented 180 variant.
Atlas,Atlas 210,HF transceiver,80-10 m,SSB/CW,1975,Popular compact solid-state transceiver.
Atlas,Atlas 210X,HF transceiver,80-10 m,SSB/CW,1975,Improved 210 with revised band coverage.
Atlas,Atlas 210X Limited Edition,HF transceiver,80-10 m,SSB/CW,1979,Special-run 210X.
Atlas,Atlas 215,HF transceiver,160-15 m,SSB/CW,1975,160m-inclusive sibling of the 210.
