Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Alinco,ALM-203 / ALX-2,VHF handheld,2m,Program channels with CHIRP/Alinco software over the model cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); programming cable for memories,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific 2-pin),Vintage 2m HTs; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-100 / DJ-100T,VHF handheld,2m,Program channels with CHIRP over the model's USB programming cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco/Kenwood 2-pin HT cable (SignaLink alt); CHIRP USB cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; enable VOX for hands-free digital. No CAT/baud.,Speaker/mic jack (Kenwood 2-pin),"2m FM HT; no CAT. Program via cable, tune manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-120 / DJ-120T,VHF handheld,2m,Program channels with CHIRP over the model cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),"2m FM HT; no CAT. Program via cable, tune manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-160 / DJ-160T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Vintage 2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-162 / DJ-162T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Vintage 2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-175 / DJ-175T,VHF handheld,2m,Program channels with CHIRP over the ERW-series/USB programming cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); CHIRP programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; CHIRP-supported for memory programming. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-180 / DJ-180T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Vintage 2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-190 / DJ-190T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-191 / DJ-191T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-193 / DJ-193T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-195 / DJ-195T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Popular 2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-196 / DJ-196T,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-200 / DJ-280 / DJ-296,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HTs; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-460 / DJ-460T,UHF handheld,70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-480 / DJ-480T,UHF handheld,70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-500 / DJ-500T,VHF/UHF handheld,2m/70cm,Program channels with CHIRP over the ERW-series/USB programming cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); CHIRP programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (Kenwood 2-pin),2m/70cm FM HT; CHIRP-supported for programming. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-560 / DJ-560T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-562 (DJ-562SX),VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-580 / DJ-580T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Classic 2m/70cm dual-band FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-593 / DJ-593T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-596 / DJ-596T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-C1 / DJ-C1T,VHF micro handheld,2m,For FM digital attach a Digirig Mobile to the model's tiny audio jack (limited); channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,"Combined earphone-mic jack (2.5/3.5mm, model-specific)",Credit-card 2m micro HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-C4 / DJ-C4T,UHF micro handheld,70cm,For FM digital attach a Digirig Mobile to the model's audio jack (limited); channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Combined earphone-mic jack (model-specific),Credit-card 70cm micro HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-C5 / DJ-C5T,VHF/UHF micro handheld,2m/70cm,For FM digital attach a Digirig Mobile to the model's audio jack (limited); channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Combined earphone-mic jack (model-specific),Credit-card 2m/70cm micro HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-C6 / DJ-C6T,UHF micro handheld,70cm,For FM digital attach a Digirig Mobile to the model's audio jack (limited); channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Combined earphone-mic jack (model-specific),Credit-card 70cm micro HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-C7 / DJ-C7T,VHF/UHF micro handheld,2m/70cm,For FM digital attach a Digirig Mobile to the model's audio jack (limited); channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Combined earphone-mic jack (model-specific),Credit-card 2m/70cm micro HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-G1 / DJ-F1,VHF handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-G29 / DJ-G29T,VHF/UHF dual-band handheld,1.25m (220 MHz) / 33cm (900 MHz),Program channels with CHIRP/Alinco software over the model cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (Kenwood 2-pin),1.25m (220)/33cm (900) dual-band FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-G5 / DJ-G5T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-G7 / DJ-G7T / DJ-G7E,VHF/UHF/microwave triband handheld,2m/70cm/23cm,Program channels with CHIRP/Alinco software over the ERW-series/USB cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); CHIRP/Alinco programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (Kenwood 2-pin),2m/70cm/23cm triband FM HT; CHIRP-supported for programming. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-MD5 / DJ-MD5T / DJ-MD5TGP,DMR dual-band handheld,2m/70cm,"Connect the Alinco USB programming cable and edit the codeplug in the Alinco DJ-MD5 CPS. Not CAT rig control; for network DMR use a Pi-Star hotspot, not a soundcard.",none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco USB programming cable + DJ-MD5 CPS (no Digirig/SignaLink needed),PTT button or VOX,Channels/contacts/talkgroups set in CPS; no CAT/baud.,Kenwood 2-pin programming/spkr-mic jack,Dual-band DMR/analog HT (AnyTone D868-family); GP variant has GPS. PC link is codeplug-only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-MD5XLT,DMR dual-band handheld,2m/70cm,"Connect the Alinco USB programming cable and edit the codeplug in the Alinco DJ-MD5XL CPS. Not CAT rig control; for network DMR use a Pi-Star hotspot, not a soundcard.",none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco USB programming cable + DJ-MD5XL CPS (no Digirig/SignaLink needed),PTT button or VOX,Channels/contacts/talkgroups set in CPS; no CAT/baud.,Kenwood 2-pin programming/spkr-mic jack,Dual-band DMR/analog HT (AnyTone D878-family) with GPS. PC link is codeplug-only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-S1 / DJ-S4,VHF / UHF handheld,2m / 70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific),Compact 2m (S1)/70cm (S4) QRP HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-S11 / DJ-S11T,VHF QRP handheld,2m,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific),2m QRP FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-S12 / DJ-S17 / DJ-S42 / DJ-S47,VHF/UHF QRP handheld,2m or 70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific),2m/70cm QRP FM HTs; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-S41 / DJ-S41T,UHF QRP handheld,70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific),70cm QRP FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
